tu_id,va,order,flag,tier,size,file,evidence
tu_024,0x10024680,0,O2y,T3,205,src/core/drawing/br_texlerp.c,0x10077434 0x10077438 0x1007743C
tu_024,0x10024750,1,O2y,T2,843,src/core/drawing/br_texlerp16.c,0x10077434 0x10077438 0x10077440 0x10077444
tu_024,0x10024AA0,2,O2y,T2,839,src/core/drawing/br_texlerp16.c,0x10077434 0x10077438 0x10077448
tu_025,0x10027850,0,O2,T4,441,src/core/drawing/br_tex3d.c,0x10077450 0x10077454 0x10077458
tu_026,0x10028200,0,O2,T3,441,src/core/drawing/br_tex3dslot.c,0x1007745C
tu_027,0x10028420,0,O2,T4,183,src/core/drawing/br_glidestate.c,0x10077460
tu_028,0x10029FE0,0,O2,T4,106,src/core/slice4_50.c,0x10077470
tu_029,0x1002A200,0,O2y,T2,645,src/core/slice2_17.c,0x10077478 0x10077480
tu_030,0x1002A490,0,O2,T4,57,src/core/drawing/br_light.c,0x10077488 0x10077490
tu_031,0x1002A590,0,O2y,T2,514,src/core/slice2_17.c,0x10077498 0x100774A8
tu_032,0x1002AF17,0,Odp,T4,1241,src/core/drawing/br_framebegin.c,0x100774B0 0x100774B4 0x100774B8 0x100774BC 0x100774C0 0x100774C4 0x100774C8 0x100774CC 0x100774D0
tu_032,0x1002B3F0,1,Odp,T4,144,src/core/drawing/br_pointdepth.c,0x100774B4 0x100774D4 0x100774D8
tu_032,0x1002BF50,2,Odp,T4,419,src/core/drawing/br_framebegin.c,0x100774B4
tu_033,0x1002D362,0,Od,T4,466,src/core/scene/br_camera.c,0x100774DC
tu_033,0x1002D534,1,Od,T4,251,src/core/drawing/br_cammatrix.c,0x100774E0 0x100774E4
tu_033,0x1002D72E,2,Od,T4,310,src/core/drawing/br_cammatrix.c,0x100774DC
tu_033,0x1002DE6B,3,Od,T4,88,src/core/gamedata/br_accum.c,0x100774E8 0x100774EC
tu_033,0x1002E186,4,Od,T4,344,src/core/startup/br_gamestep.c,0x100774F0
tu_033,0x1002ECEB,5,Od,T2,1357,src/core/slice2_19.c,0x100774DC 0x100774F4 0x100774F8 0x100774FC
tu_034,0x1002F380,0,O2,T4,690,src/core/controls/br_pad.c,0x10077510 0x10077514 0x10077518
tu_035,0x1002F790,0,,T1,2517,,0x1007751C
tu_036,0x100311C0,0,,T1,770,,0x10077524 0x10077528
tu_037,0x100326A0,0,O2,T2,469,src/core/slice4_53.c,0x1007752C 0x10077530 0x10077534 0x10077538 0x1007753C 0x10077540 0x10077544 0x10077548 0x1007754C 0x10077550 0x10077554
tu_037,0x10032880,1,O2,T2,1464,src/core/slice2_21.c,0x10077544 0x10077550 0x10077558 0x1007755C 0x10077560 0x10077564 0x10077568 0x1007756C 0x10077570 0x10077574 0x10077578 0x10077584 0x1007758C 0x10077594 0x10077598
tu_037,0x10032E40,2,O2,T2,1881,src/core/drawing/br_cartrail.c,0x10077584 0x10077598 0x1007759C 0x100775A0 0x100775A4 0x100775A8 0x100775AC
tu_037,0x100335A0,3,O2,T2,726,src/core/slice2_21.c,0x10077544 0x10077550 0x10077558 0x1007755C 0x10077574 0x10077584 0x10077594 0x100775A8 0x100775B0 0x100775B4 0x100775B8 0x100775BC 0x100775C0
tu_037,0x10033880,4,O2,T4,315,src/core/generated/0x10033880.c,0x1007758C 0x100775C4 0x100775C8 0x100775CC 0x100775D0
tu_037,0x100339C0,5,O2,T3,398,src/core/generated/0x100339C0.c,0x100775C4 0x100775C8 0x100775D0 0x100775D4 0x100775D8 0x100775DC 0x100775E0
tu_038,0x10033D30,0,O2,T2,601,src/core/slice2_21.c,0x100775E4 0x100775E8 0x100775EC
tu_038,0x10033FD0,1,O2,T4,55,src/core/scene/br_spangrid.c,0x100775E4
tu_039,0x100343C0,0,O2,T4,43,src/core/geometry/br_vec.c,0x100775F0
tu_039,0x100343F0,1,O2,T4,45,src/core/geometry/br_vec.c,0x100775F0
tu_039,0x10034420,2,O2,T4,168,src/core/geometry/br_vec.c,0x100775F0 0x100775F4
tu_039,0x100344D0,3,O2,T4,141,src/core/drawing/br_dl.c,0x100775F0 0x100775F4
tu_039,0x100346D0,4,O2,T4,55,src/core/geometry/br_vec.c,0x10077600
tu_039,0x10034870,5,O2,T4,174,src/core/generated/0x10034870.c,0x100775F0
tu_039,0x100349C0,6,O2,T4,165,src/core/geometry/br_mat.c,0x100775F0
tu_039,0x10034B70,7,O2,T2,696,src/core/slice2_21.c,0x100775F0 0x100775F4 0x10077604
tu_039,0x10034E30,8,O2,T4,393,src/core/geometry/br_atan2.c,0x100775F4 0x10077600 0x1007760C 0x10077610 0x1007761C 0x10077620
tu_039,0x10034FC0,9,O2,T4,295,src/core/geometry/br_tri.c,0x100775F4
tu_039,0x100350F0,10,O2,T4,544,src/core/slice2_21.c,0x100775F4
tu_039,0x10035310,11,O2,T4,176,src/core/slice2_21.c,0x100775F4
tu_040,0x100393C0,0,O2,cpp,330,src/core/cpp/0x100393C0.cpp,0x10077628 0x1007762C
tu_040,0x1003A140,1,O2,T3,360,src/core/menus/br_menucb.c,0x10077624 0x10077630 0x10077634 0x10077638 0x1007763C
tu_040,0x1003A2B0,2,O2,T2,360,src/core/menus/br_menucb.c,0x10077624 0x10077630 0x10077634 0x10077638 0x1007763C
