va,size,name
0x00401000,66,FreeObjList
0x00401050,104,CHK_FileExists
0x004010C0,97,CHK_AllocateMemory
0x00401130,136,SetSubstituteDir
0x004011C0,15,CHK_FreeMemory
0x004011D0,34,GetObj
0x00401200,31,BindSection
0x00401220,46,NextObj
0x00401250,78,ReadINI
0x004012A0,28,FreeINI
0x004012C0,467,ReadList
0x004014A0,11,ResetIncludeStack
0x004014B0,425,ReadListLine
0x00401660,14,IncludeStackEmpty
0x00401670,23,PushInclude
0x00401690,19,PopInclude
0x004016B0,6,GetCommentChar
0x004016C0,10,SetCommentChar
0x004016D0,212,GetInstallDir
0x004017B0,48,LoadRallyMain
0x004017E0,33,UnloadRallyMain
0x00401810,600,WinMain
0x00401A70,105,AddSpawnArg
0x00401AE0,223,GetIniValue
0x00401BC0,47,_chkstk
0x00401BF0,270,WinMainCRTStartup
0x00401CFE,54,WinMainCRTStartup_cmdtail
0x00401D34,30,WinMainCRTStartup_WinMain
0x00401D52,21,WinMainCRTStartup_filter
0x00401D67,13,WinMainCRTStartup_exit
0x00401D74,27,WinMainCRTStartup_epilogue
0x00401D8F,15,WinMainCRTStartup_skipspace
0x00401DA0,6,_XcptFilter_thunk
0x00401DA6,6,_initterm_thunk
0x00401DB0,19,_setdefaultprecision
0x00401DD0,3,_matherr
0x00401DE0,1,CRT_empty
0x00401DF0,6,_except_handler3_thunk
0x00401DF6,6,_controlfp_thunk
