address,build,symbol,file,line
0x10035FC0,d3d,BrBitEdgeSplit,slice2_19.c,829
0x10035FE0,d3d,BrEntInit,slice1_05.c,482
0x10036030,d3d,BrPeerFind,slice1_05.c,456
0x10036BD0,d3d,BrModelLoad,slice2_19.c,1004
0x10036C00,d3d,BrModelSwap,slice2_19.c,898
0x10037030,d3d,BrPendListAdd,slice1_06.c,50
0x10037070,d3d,BrDevRecMatch,slice1_06.c,80
0x100370D0,d3d,BrRcaFixup,slice2_20.c,235
0x10037740,d3d,BrSub10037740,slice4_53.c,217
0x100378B0,d3d,BrFileReadInto,slice2_20.c,432
0x10037930,d3d,BrKeyTableFind,slice1_06.c,110
0x10037A90,d3d,BrTrackLoadHandling,slice2_20.c,513
0x10038010,d3d,BrTrackFixupRec54,slice2_20.c,671
0x100383C0,d3d,BrSwapVec3,br_bits.c,22
0x10038450,d3d,BrTexCopyRecords,slice2_20.c,713
0x10038510,d3d,BrTrackHdrRead,slice2_20.c,539
0x10038F30,d3d,BrExt_10038F30,slice6_71.c,116
0x10039000,d3d,BrInit220B20,slice2_20.c,957
0x10039020,d3d,BrCarSub9020,slice4_53.c,208
0x10039200,d3d,BrCarWheelFx,slice2_21.c,772
0x10039F20,d3d,BrCarPfxSpawn,slice2_21.c,677
0x1003A200,d3d,BrPfxUpdateB0,slice2_21.c,576
0x1003A340,d3d,BrPfxUpdateB4AC,slice2_21.c,613
0x1003A4D0,d3d,BrPfxReset,slice2_21.c,537
0x1003A530,d3d,BrPfxTick,slice2_21.c,943
0x1003A610,d3d,BrPfxSaveState,slice2_21.c,553
0x1003A6B0,d3d,BrSpanAddLine,slice2_21.c,387
0x1003A950,d3d,BrSpanTestPoint,slice2_21.c,461
0x1003A990,d3d,BrSpanBuildHull,slice2_21.c,474
0x1003ADA0,d3d,BrVec3Direction,slice2_21.c,39
0x1003AED0,glide,BrUiCreditsAction_1003AED0,br_uicredits.c,58
0x1003B0A0,d3d,BrVec3DistXY,slice2_21.c,91
0x1003B0E0,d3d,BrVec3Dist,br_vec.c,148
0x1003B170,d3d,BrVec3Len,slice6_74.c,309
0x1003B1C0,d3d,BrVec3LenXY,slice2_21.c,81
0x1003B2A0,d3d,BrMat4TransformPoint4,slice2_21.c,174
0x1003B3F0,d3d,BrMtxXfmDir3,slice2_21.c,188
0x1003B470,d3d,BrMtxMul,slice2_21.c,204
0x1003B4F0,d3d,BrMtxInvert,slice2_21.c,227
0x1003B7B0,d3d,BrAtan2,slice2_21.c,105
0x1003BA70,d3d,BrSeg2Intersect,slice2_21.c,333
0x1003BC90,d3d,BrSeg2SideTest,slice2_21.c,317
0x1003BD50,d3d,BrRandom,slice4_52.c,82
0x1003BF60,d3d,BrExt_1003BF60,slice6_70.c,193
0x1003C150,d3d,BrSub1003C150,slice4_50.c,286
0x1003C230,d3d,BrTimerStart1003C230,slice4_53.c,310
0x1003C260,d3d,BrSub1003C260,slice4_50.c,320
0x1003CDA0,d3d,BrSub1003CDA0,slice6_74.c,352
0x1003D030,d3d,BrSub1003D030,slice6_73.c,1193
0x1003D180,d3d,BrComGetAlloc,slice1_06.c,179
0x1003D950,d3d,BrSub1003D950,slice4_50.c,385
0x1003D9F0,d3d,BrSub1003D9F0,slice4_52.c,201
0x1003DA40,d3d,BrSub1003DA40,slice4_53.c,240
0x1003DB00,d3d,BrExt_1003DB00,slice6_70.c,310
0x1003DFC0,d3d,BrUiFn1003DFC0,slice2_23.c,351
0x1003E010,d3d,BrUiFn1003E010,slice2_23.c,373
0x1003E040,d3d,BrUiFn1003E040,slice2_23.c,383
0x1003E070,d3d,BrFn1003E070,slice4_51.c,85
0x1003E1D0,d3d,BrPairBufReset,slice1_06.c,226
0x1003E310,d3d,BrOptSave,slice1_06.c,296
0x1003E3A0,d3d,BrSub1003E3A0,slice6_72.c,83
0x1003E510,d3d,BrSub1003E510,slice5_61.c,294
0x1003E680,d3d,BrSub1003E680,slice6_73.c,1081
0x1003E7A0,d3d,BrUiHook85_1003E7A0,slice8_85.c,209
0x1003E840,d3d,BrUiText1003E840,slice2_23.c,452
0x1003E8D0,d3d,br23_num_common,slice2_23.c,472
0x1003E920,d3d,BrUiFn1003E920,slice2_23.c,507
0x1003E950,d3d,BrUiHook85_1003E950,slice8_85.c,285
0x1003E980,d3d,Br85DrawRow,slice8_85.c,248
0x1003E9E0,d3d,BrUiHook85_1003E9E0,slice8_85.c,272
0x1003EA40,d3d,BrUiHook85_1003EA40,slice8_85.c,299
0x1003EA90,d3d,BrUiNum1003EA90,slice2_23.c,494
