glide_va,name,module,basis,file
0x1001F670,BrClipPlaneWMinusF08,drawing,filed,src/core/drawing/br_dlclip.c
0x1001F7B0,BrClipPlaneWPlusF0C,drawing,filed,src/core/drawing/br_dlclip.c
0x1001F8F0,BrClipPlaneWMinusF0C,drawing,filed,src/core/drawing/br_dlclip.c
0x1001FCF0,BrDlVtxFinishTex,drawing,filed,src/core/drawing/br_dlcmd.c
0x1001FD40,BrGbiClearGeometryMode,drawing,neighbour,src/core/drawing/br_gbi.c
0x1001FEF0,BrDlCmdTri1FlatZ,drawing,neighbour,src/core/ghidra_batch.c
0x1001FF60,BrDlTriFlatZ,drawing,filed,src/core/drawing/br_dlcmd.c
0x10020190,BrDlClipTriFlatZ,drawing,filed,src/core/drawing/br_dltrim.c
0x100203F0,BrDlCmdTri1Flat,drawing,neighbour,src/core/ghidra_batch.c
0x10020460,BrDlTriFlatNoZ,drawing,filed,src/core/drawing/br_dlcmd.c
0x10020690,BrDlClipTriFlatNoZ,drawing,filed,src/core/drawing/br_dltrim.c
0x10020900,BrDlCmdTri1NoZ,drawing,filed,src/core/drawing/br_dlcmd.c
0x10020A80,BrDlClipTriNoZ,drawing,filed,src/core/drawing/br_dltrim.c
0x10020CF0,BrDlCmdTri2FlatZ,drawing,neighbour,src/core/ghidra_batch.c
0x10020D30,BrDlCmdTri2Flat,drawing,neighbour,src/core/ghidra_batch.c
0x10021020,BrGbiDList,drawing,neighbour,src/core/drawing/br_gbi.c
0x10021060,BrGbiEndDList,drawing,neighbour,src/core/drawing/br_gbi.c
0x100211B0,BrGbiPopMatrix,drawing,neighbour,src/core/drawing/br_gbi.c
0x100211E0,BrGbiSetGeometryMode,drawing,neighbour,src/core/drawing/br_gbi.c
0x10021210,BrGbiDispatch10020F50,drawing,neighbour,src/core/drawing/br_gbi.c
0x10021250,BrGbiSet4C1694,drawing,neighbour,src/core/drawing/br_gbi.c
0x10021270,BrGlGbiCall,drawing,filed,src/core/drawing/br_dlglide.c
0x100219D0,BrDlsTileRectE3,drawing,filed,src/core/drawing/br_dlshared.c
0x10022120,BrDlsClipCodes,drawing,filed,src/core/drawing/br_dlshared.c
0x10023900,BrGbiMoveMemMatrix,drawing,neighbour,src/core/generated/0x10023900.c
0x10023920,BrGbiCall10024260,drawing,neighbour,src/core/drawing/br_gbi.c
0x100239C0,BrGbiMoveWord,drawing,neighbour,src/core/drawing/br_gbi.c
0x10023AA0,FUN_10023aa0,drawing,neighbour,src/core/drawing/br_glidestate.c
0x10023B10,br_dl_clip_reset,drawing,filed,src/core/drawing/br_dl.c
0x10023C90,BrGbiRun,drawing,neighbour,src/core/drawing/br_gbi.c
0x10023D20,BrTex3dRecCopyHead,drawing,filed,src/core/drawing/br_tex3d.c
0x100242E0,BrTexShiftFromSize,drawing,neighbour,src/core/drawing/br_texfmt.c
0x10024DF0,FUN_10024df0,drawing,neighbour,src/core/drawing/br_texfmt.c
0x10024E30,BrTex3dRecSet278,drawing,filed,src/core/drawing/br_tex3d.c
0x10024E60,BrTex3dExpandInto,drawing,filed,src/core/drawing/br_tex3d.c
0x10027220,BrTexFormatCode,drawing,neighbour,src/core/drawing/br_texfmt.c
0x100272F0,BrTex3dCreate,drawing,filed,src/core/drawing/br_tex3d.c
0x100275C0,FUN_100275c0,drawing,neighbour,src/core/drawing/br_texfmt.c
0x10027710,FUN_10027710,drawing,filed,src/core/drawing/br_tex3d.c
0x10027850,BrTex3dRecInstall,drawing,filed,src/core/drawing/br_tex3d.c
0x10027F80,BrGbiTexelsPerWord,drawing,neighbour,src/core/drawing/br_gbitexscan.c
0x10027FB0,BrTex3dCreateBlank,drawing,filed,src/core/drawing/br_tex3d.c
0x100281C0,FUN_100281c0,drawing,neighbour,src/core/drawing/br_glidestate.c
0x10028420,FUN_10028420,drawing,neighbour,src/core/drawing/br_glidestate.c
0x100285E0,BrTex3dReDownload,drawing,filed,src/core/drawing/br_tex3d.c
0x100287E0,BrTex3dReconvert,drawing,filed,src/core/drawing/br_tex3d.c
0x10028B50,br_tex3d_seam,drawing,filed,src/core/drawing/br_tex3d.c
