va,refs,text
0x100B5DD0,1,c:\RallyConfig.dat
0x100AAB20,1,ERROR: unhandled texture size: %d
0x100B6CA0,1,.wav
0x100B6C98,1,h.wav
0x100AAB44,1,HUGE GLIST ERROR
0x100A7394,1,%6.2f FPS
0x100AAB58,1,LoadCar()
0x100A73B0,1,%s%d:%02d.%02d
0x100A73C8,1,%%y1%s%d/%d
0x100AAB80,1,.rca
0x100AAB78,1,RCar
0x100AAB64,1,not a car file: %s
0x100AAB88,1,File %s missing
0x100A747C,1,%%11%d.
0x100A7474,1,%%y1%d.
0x100A746C,1,%%ry%d.
0x100A7458,1,%%11%s %dms %c%c
0x100AAB98,1,%u %x %d %d
0x100A7438,1,%%x%02x%02x%02x%s %s %dms %c%c
0x100AABA8,1,.hnd
0x100A741C,1,%%x%02x%02x%02x%s %dms %c%c
0x100A7414,1,%%11%s
0x100A73FC,1,%%x%02x%02x%02x%s %s
0x100A73E8,1,%%x%02x%02x%02x%s
0x100A73E0,1,%%55%d.
0x100A73D8,1,%%55%s
0x100A7484,1,%%yw%.0f
0x100A7490,1,%s%d. %d:%02d.%02d
0x100BD43C,1,fps = %0.2f
0x100A79B8,1,%02x%02x%02x
0x100AAC38,1,BossRally.pod
0x100BD5A8,1,BossRally.cfg
0x100BD5B8,1,splash.img
0x100BD5C4,1,Unable to initialize Direct3D accelerated video card.
0x100BD5FC,1,%s (Primary)
0x100BD61C,1,%4d x %4d x %2d (%4d Hz)
0x100BD60C,1,%4d x %4d x %2d
0x100AD36C,1,%s%c
0x100AAD38,1,Could not create DirectPlay object because of error 0x%08X
0x100AADA4,1,Could not select service provider because of error 0x%08X
0x100AADE0,1,Could not host session because of error 0x%08X
0x100AAE10,1,Could not join session because of error 0x%08X
0x100AD374,1,seasondesc.dat
0x100ADEDC,1,images\work1a.bmp
0x100ADEC8,1,images\cursor.bmp
0x100ADEB4,1,images\type_gry.bmp
0x100ADEA0,1,images\type_wit.bmp
0x100ADE8C,1,images\type_mid.bmp
0x100ADE78,1,images\bignums.bmp
0x100ADE64,1,images\champ.bmp
0x100ADE54,1,images\mp.bmp
0x100ADE44,1,images\ta.bmp
0x100ADE34,1,images\op.bmp
0x100ADE24,1,images\qr.bmp
0x100ADE10,1,images\carmt.bmp
0x100ADDFC,1,images\mshft.bmp
0x100ADDE8,1,images\softshok.bmp
0x100ADDD4,1,images\medshok.bmp
0x100ADDC0,1,images\hardshok.bmp
0x100ADDAC,1,images\desrttrk.bmp
0x100ADD98,1,images\coasttrk.bmp
0x100ADD84,1,images\trakc.bmp
0x100ADD74,1,images\fog.bmp
0x100ADD64,1,images\nite.bmp
0x100ADD54,1,images\rain.bmp
0x100ADD44,1,images\snow.bmp
0x100ADD30,1,images\sunweth.bmp
0x100ADD1C,1,images\drytire.bmp
0x100ADD08,1,images\medtire.bmp
0x100ADCF4,1,images\wettire.bmp
0x100ADCE0,1,images\trakd.bmp
