d3d_addr,glide_addr,votes
0x10220C90,0x1021C7C0,1
0x10220C92,0x1021C7C2,2
0x10220C94,0x1021C7C4,1
0x10220C96,0x1021C7C6,1
0x10220C98,0x1021C7C8,1
0x10220C9C,0x1021C7CC,1
0x10220C9E,0x1021C7CE,1
0x10220CA0,0x1021C7D0,1
0x10220CA4,0x1021C7D4,1
0x10220CA8,0x1021C7D8,1
0x10220CAC,0x1021C7DC,1
0x10220CB0,0x1021C7E0,1
0x10220CB4,0x1021C7E4,1
0x10220CB8,0x1021C7E8,1
0x10220CBC,0x1021C7EC,1
0x10220CC0,0x1021C7F0,1
0x10220CC2,0x1021C7F2,1
0x10220CC4,0x1021C7F4,1
0x10220CC6,0x1021C7F6,1
0x10220CC8,0x1021C7F8,1
0x10220CCA,0x1021C7FA,1
0x10220CCC,0x1021C7FC,1
0x10220CD0,0x1021C800,23
0x10220CD4,0x1021C804,11
0x10220CD8,0x1021C808,4
0x10220CDC,0x1021C80C,5
0x10220CEC,0x1021C81C,7
0x10220CF0,0x1021C820,3
0x10220D68,0x1021C898,1
0x10220DD0,0x1021C900,3
0x10220DD4,0x1021C904,1
0x10220DD8,0x1021C908,4
0x10220DDC,0x1021C90C,7
0x10220E60,0x1021C990,5
0x10220E64,0x1021C994,5
0x10220E68,0x1021C998,5
0x10220E6C,0x1021C99C,5
0x10220E70,0x1021C9A0,5
0x10220E74,0x1021C9A4,5
0x10220E78,0x1021C9A8,5
0x10220E80,0x1021C9B0,3
0x10221280,0x1021CDB0,1
0x102212C8,0x1021CDF8,1
0x102212D0,0x1021CE00,2
0x10221310,0x1021CE40,6
0x10221314,0x1021CE44,4
0x10221318,0x1021CE48,1
0x1022131C,0x1021CE4C,9
0x10221320,0x1021CE50,1
0x10221324,0x1021CE54,9
0x10221328,0x1021CE58,20
0x10221334,0x1021CE64,1
0x10221354,0x1021CE84,1
0x10221358,0x1021CE88,1
0x1022135C,0x1021CE8C,1
0x1022135D,0x1021CE8D,1
0x1022135E,0x1021CE8E,1
0x10221898,0x1021D3C8,2
0x10221C9C,0x1021D7CC,1
0x1022AAA8,0x102265D8,5
0x1022AAB0,0x102265E0,2
0x1022AAB4,0x102265E4,3
0x1022AAF0,0x10226620,1
0x1022AAF4,0x10226624,5
0x1022AAF8,0x10226628,2
0x1022AEF8,0x10226A28,3
0x1022AF00,0x10226A30,2
0x1022AF04,0x10226A34,7
0x1022AF08,0x10226A38,4
0x1022AF0C,0x10226A3C,1
0x1022AF10,0x10226A40,1
0x1022AF14,0x10226A44,4
0x1022AF18,0x10226A48,13
0x1022AF1C,0x10226A4C,2
0x1022AF20,0x10226A50,2
0x1022AF24,0x10226A54,9
0x1022AF28,0x10226A58,7
0x1022AF2C,0x10226A5C,5
0x1022AF30,0x10226A60,5
0x1022AF34,0x10226A64,12
0x1022AF38,0x10226A68,3
0x1022AF3C,0x10226A6C,3
0x1022AF40,0x10226A70,3
0x1022B348,0x10226E78,1
0x1022B34C,0x10226E7C,7
0x1022B350,0x10226E80,11
0x10277B20,0x10273308,2
0x10277B28,0x10273310,4
0x10277B40,0x10273328,30
0x10277B48,0x10273330,4
0x10277B4C,0x10273334,1
0x10277B54,0x1027333C,5
0x10277B58,0x10273340,1
0x10277B5C,0x10273344,5
0x10277B60,0x10273348,4
0x10277B68,0x10273350,3
0x10277D88,0x10273570,3
0x10277DC8,0x102735B0,1
0x10277E14,0x102735FC,1
0x10277E18,0x10273600,4
0x10277E5C,0x10273644,2
0x10277E60,0x10273648,3
0x102E54C0,0x102E0CA8,4
0x102E5E98,0x102E1680,1
0x102E5EC0,0x102E16A8,3
0x102E5EC4,0x102E16AC,1
0x102E5EC8,0x102E16B0,4
0x102E5ECC,0x102E16B4,15
0x102E5F28,0x102E1710,1
0x10362F28,0x1035E710,1
0x10363F68,0x1035F750,1
0x10363FF0,0x1035F7D8,4
0x10363FF4,0x1035F7DC,1
0x10364304,0x1035FAEC,4
0x10364308,0x1035FAF0,1
0x10364390,0x1035FB78,6
0x10364394,0x1035FB7C,5
0x10364398,0x1035FB80,2
0x1036439C,0x1035FB84,1
0x103643A0,0x1035FB88,1
0x103643B4,0x1035FB9C,1
0x103643BC,0x1035FBA4,3
0x103643C0,0x1035FBA8,1
0x1038BCC0,0x103874A8,1
0x1039B6C0,0x10396EA8,4
0x1039B6C8,0x10396EB0,6
0x1039B6D0,0x10396EB8,2
0x1039B710,0x10396EF8,4
0x1039B714,0x10396EFC,2
0x1039B718,0x10396F00,4
0x1039B71C,0x10396F04,5
0x1039B720,0x10396F08,33
0x1039B728,0x10396F10,5
0x1039B72C,0x10396F14,2
0x1039B730,0x10396F18,2
0x1039B734,0x10396F1C,2
0x1039B738,0x10396F20,2
0x1039B73C,0x10396F24,4
0x1039B75C,0x10396F44,5
0x1039B760,0x10396F48,6
0x1039B7C4,0x10396FAC,1
0x1039C168,0x10397950,3
0x1039C16C,0x10397954,1
0x1039C170,0x10397958,1
0x1039C178,0x10397960,3
0x1039C17C,0x10397964,3
0x1039C180,0x10397968,3
0x1039C188,0x10397970,3
0x1039C18C,0x10397974,3
0x1039C190,0x10397978,3
0x1039C198,0x10397980,3
0x1039C19C,0x10397984,3
0x1039C1A0,0x10397988,3
0x1039C1D8,0x103979C0,3
0x1039C1DC,0x103979C4,3
0x1039C1E0,0x103979C8,3
0x1039C218,0x10397A00,3
0x1039C21C,0x10397A04,3
0x1039C220,0x10397A08,3
0x1039C258,0x10397A40,3
0x1039C25C,0x10397A44,3
0x1039C260,0x10397A48,3
0x1039C298,0x10397A80,3
0x1039C29C,0x10397A84,3
0x1039C2A0,0x10397A88,3
0x1039E89C,0x1039A084,3
0x1039E8A0,0x1039A088,1
0x1039E8A4,0x1039A08C,5
0x1039E8A8,0x1039A090,3
0x1039E8AC,0x1039A094,3
0x1039E8B4,0x1039A09C,2
0x1039E8C4,0x1039A0AC,2
0x1039E8C8,0x1039A0B0,1
0x1039E8CC,0x1039A0B4,1
0x1039E8D4,0x1039A0BC,2
0x1039E8E4,0x1039A0CC,3
0x1039E8E8,0x1039A0D0,5
0x1039E8EC,0x1039A0D4,3
0x1039E8F0,0x1039A0D8,3
0x1039E8F8,0x1039A0E0,2
0x1039E908,0x1039A0F0,2
0x1039E918,0x1039A100,2
0x1039E91C,0x1039A104,1
0x1039E920,0x1039A108,1
0x1039E928,0x1039A110,3
0x1039E92C,0x1039A114,5
0x1039E930,0x1039A118,3
0x1039E934,0x1039A11C,3
0x1039E93C,0x1039A124,2
0x1039E94C,0x1039A134,3
0x1039E950,0x1039A138,2
0x1039E954,0x1039A13C,2
0x1039E95C,0x1039A144,2
0x1039E96C,0x1039A154,3
0x1039E970,0x1039A158,4
0x1039E974,0x1039A15C,1
0x1039E978,0x1039A160,1
0x1039E980,0x1039A168,1
0x1039E984,0x1039A16C,1
0x1039E988,0x1039A170,1
0x1039E990,0x1039A178,1
0x1039E994,0x1039A17C,1
0x1039E998,0x1039A180,1
0x1039E9A0,0x1039A188,1
0x1039E9A4,0x1039A18C,1
0x1039E9A8,0x1039A190,1
0x1039E9B0,0x1039A198,1
0x1039E9F8,0x1039A1E0,4
0x103C77E8,0x103C2FD0,1
0x103C7840,0x103C3028,1
0x103C7844,0x103C302C,1
0x10481C10,0x1047D3F8,1
0x10481C74,0x1047D45C,1
0x10482618,0x1047DE00,1
0x10484D6C,0x10480554,1
0x104ADC98,0x104A9480,1
0x104ADCF0,0x104A94D8,1
0x104ADCF4,0x104A94DC,1
0x104AFD00,0x104AB4E8,3
0x104AFD04,0x104AB4EC,4
0x104AFD08,0x104AB4F0,3
0x104AFD0C,0x104AB4F4,3
0x104AFD14,0x104AB4FC,4
0x104AFD18,0x104AB500,3
0x104AFD1C,0x104AB504,4
0x104AFD20,0x104AB508,1
0x104AFF20,0x104AB708,4
0x104AFF21,0x104AB709,1
0x104B0338,0x104ABB20,5
0x104B033C,0x104ABB24,6
0x104B0340,0x104ABB28,3
0x104B0344,0x104ABB2C,3
0x104B0348,0x104ABB30,2
0x104B035C,0x104ABB44,2
0x104B0364,0x104ABB4C,1
0x104B0368,0x104ABB50,1
0x104B036C,0x104ABB54,1
0x104B0370,0x104ABB58,1
0x104B0378,0x104ABB60,2
0x104B037C,0x104ABB64,1
0x104B0380,0x104ABB68,1
0x104B0688,0x104ABE70,3
0x104B068C,0x104ABE74,3
0x104B0690,0x104ABE78,3
0x104B0694,0x104ABE7C,1
0x104B0698,0x104ABE80,1
0x104B069C,0x104ABE84,1
0x104B1F00,0x104AD6E8,6
0x104B2550,0x104ADD38,4
0x104B255C,0x104ADD3C,4
0x104B2560,0x104ADD40,3
0x104B2564,0x104ADD44,3
0x104B2568,0x104ADD48,3
0x104B2572,0x104ADD52,1
0x104B2574,0x104ADD54,1
0x104B3DEC,0x104AF5CC,1
0x104BBDE8,0x104B15C8,5
0x104BBDF0,0x104B15D0,1
0x104BBDF4,0x104B15D4,2
0x104BBDF8,0x104B15D8,1
0x104BBE08,0x104B15E8,11
0x104BBE0C,0x104B15EC,8
0x104BBE14,0x104B15F4,2
0x104BBE38,0x105CCC78,2
0x104BBE39,0x105CCC79,1
0x104BBE3A,0x105CCC7A,1
0x104BBE3C,0x105CCC7C,1
0x104BBE3D,0x105CCC7D,1
0x104BBE3E,0x105CCC7E,1
0x104BBEC0,0x105CCD00,4
0x104BBED0,0x105CCD10,6
0x104BBF00,0x105CCD40,1
0x104BC190,0x105CCFD0,1
0x104BC194,0x105CCFD8,1
0x104C01A4,0x105CCFE8,2
0x104C01A8,0x105CCFF0,7
0x104C0BA8,0x105CD9F0,7
0x104C0BBC,0x105CDA00,16
0x104C15CC,0x105CE208,1
0x104C1694,0x105CE2D4,1
0x104C1698,0x105CE2D8,1
0x104C169C,0x105CE2DC,1
0x104C16A8,0x105CE2E8,1
0x104C4D10,0x105D1760,2
0x104C5150,0x105D17A0,1
0x104C5158,0x105D17AC,1
0x104C515C,0x105D17B0,1
0x104C5178,0x105D17C8,4
0x104C517C,0x105D17CC,2
0x104C5180,0x105D17D0,4
0x104C51A0,0x105D17E8,1
0x104C51A4,0x105D17F0,1
0x104C51A8,0x105D17F8,2
0x104D51A8,0x105E17F8,1
0x104D51AC,0x105E17FC,18
0x104D51B0,0x105E1800,1
0x104D51B4,0x105E1804,1
0x104D51BC,0x105E180C,3
0x104D51C0,0x105E1810,1
0x104D51C1,0x105E1811,1
0x104D51D1,0x105E1821,1
0x105551D0,0x10661828,1
0x105551D4,0x1066182C,1
0x105551D8,0x10697840,1
0x105551DC,0x10697844,1
0x105551E0,0x10697848,1
0x105551E4,0x1069784C,1
0x105551E8,0x10697850,1
0x105551EC,0x10697854,1
0x105551F0,0x10697858,1
0x105551F4,0x1069785C,1
0x105551F8,0x10697860,1
0x105551FC,0x10697864,1
0x10555200,0x10697868,1
0x10555204,0x1069786C,1
0x10555208,0x10697870,1
0x1055520C,0x10697874,1
0x10555210,0x10697878,1
0x10555214,0x1069787C,1
0x105553D8,0x10697A40,1
0x105553DC,0x10697A44,2
0x105553E0,0x10697A48,1
0x105553E4,0x10697A4C,1
0x105553E8,0x10697A50,1
0x105553EC,0x10697A54,1
0x105553FC,0x10697A64,3
0x10555400,0x10697A68,1
0x10575410,0x106B7A78,1
0x10575414,0x106B7A7C,5
0x10575430,0x106B7A94,3
0x10575434,0x106B7A98,2
0x10575438,0x106B7A9C,7
0x10575440,0x106B7AA4,1
0x10575444,0x106B7AA8,1
0x10575448,0x106B7AAC,3
0x1057544C,0x106B7AB0,2
0x10575450,0x104B15F8,2
0x10575454,0x104B15FC,3
0x10575458,0x104B1600,2
0x1057545C,0x104B1604,2
0x10575460,0x104B1608,2
0x10575464,0x104B160C,35
0x10575468,0x104B1610,2
0x1057546C,0x104B1614,3
0x10575470,0x104B1618,3
0x10575474,0x104B161C,3
0x10575478,0x104B1620,1
0x1057547C,0x104B1624,2
0x10575480,0x104B1628,5
0x10575484,0x104B162C,6
0x10575488,0x104B1630,2
0x1057548C,0x104B1634,2
0x10575490,0x104B1638,2
0x10575494,0x104B163C,2
0x10575498,0x104B1640,2
0x1057549C,0x104B1644,2
0x105754A0,0x104B1648,3
0x105754A4,0x104B164C,2
0x105754A8,0x104B1650,2
0x105754AC,0x104B1654,2
0x105754B0,0x104B1658,2
0x105754B4,0x104B165C,2
0x105754B8,0x104B1660,2
0x105754BC,0x104B1664,3
0x105754C0,0x104B1668,2
0x105754C4,0x104B166C,2
0x105754C8,0x104B1670,2
0x105754CC,0x104B1674,2
0x105754D0,0x104B1678,3
0x105754D4,0x104B167C,3
0x105754D8,0x104B1680,1
0x105754DC,0x104B1684,1
0x105754E0,0x104B1688,2
0x105754E8,0x104B1690,1
0x105754F0,0x104B1698,2
0x105754F8,0x104B16A0,2
0x105754FC,0x104B16A4,4
0x10575500,0x104B16A8,8
0x10575504,0x104B16AC,2
0x10575508,0x104B16B0,8
0x1057550C,0x104B16B4,4
0x10575510,0x104B16B8,9
0x10575514,0x104B16BC,11
0x10575518,0x104B16C0,15
0x1057551C,0x104B16C4,2
0x10575520,0x104B16C8,2
0x10575524,0x104B16CC,3
0x10575528,0x104B16D0,2
0x1057552C,0x104B16D4,2
0x10575530,0x104B16D8,6
0x10575538,0x104B16E0,2
0x1057553C,0x104B16E4,3
0x10675540,0x105B16E8,1
0x10675548,0x105B16F0,1
0x1067554C,0x105B16F4,2
0x10675550,0x105B16F8,2
0x1067B548,0x105B76F0,4
0x1067B54C,0x105B76F4,4
0x1067B550,0x105B76F8,2
0x1067D550,0x105B96F8,2
0x1067D558,0x105B9700,1
0x1067D570,0x105B9718,2
0x1067D578,0x105B9720,1
0x1067D57C,0x105B9724,1
0x1067D584,0x105B972C,1
0x10680584,0x105BC72C,17
0x10680598,0x105BC740,1
0x1068059C,0x105BC744,1
0x106805A0,0x105BC748,1
0x106805B0,0x105BC758,2
0x106805B8,0x105BC760,3
0x106805BC,0x105BC764,1
0x106805C8,0x105BC770,4
0x106806B0,0x105BC858,1
0x10680728,0x105BC8D0,3
0x10680730,0x105BC8D8,1
0x10680738,0x105BC8E0,1
0x10680748,0x105BC8F0,2
0x1068093C,0x105BCAE4,1
0x10680944,0x105BCAEC,2
0x10690950,0x105CCAF8,2
0x106909B0,0x105CCB58,2
0x106909B4,0x105CCB5C,12
0x106909B8,0x105CCB60,3
0x106909C0,0x105CCB68,1
0x106909D0,0x105CCB78,1
0x106909D8,0x105CCB80,3
0x106909E0,0x105CCB88,24
0x10690A10,0x105CCBB8,1
0x10690A14,0x105CCBBC,3
0x10690A20,0x106B7AB4,1
0x10690A30,0x106B7AC0,2
0x10690A38,0x106B7AC8,2
0x10690BE8,0x106B7C78,18
0x10690BEC,0x106B7C7C,6
0x10690BF0,0x106B7C80,5
0x10690FF8,0x106B8088,4
0x10690FF9,0x106B8089,3
0x10690FFA,0x106B808A,3
0x10690FFB,0x106B808B,3
0x10691000,0x106B8090,6
0x10691018,0x106B80A8,1
0x106C0200,0x106E7290,18
0x106C0204,0x106E7294,6
0x106C0208,0x106E7298,2
0x106C020C,0x106E729C,4
0x106C0210,0x106E72A0,1
0x106C0218,0x106E72A8,3
0x106C0258,0x106E72E8,5
0x106C0260,0x106E72F0,17
0x106C0670,0x106E7700,2
0x106C0674,0x106E7704,1
0x106C0678,0x106E7708,1
0x106C067C,0x106E770C,4
0x106C0680,0x106E7710,650
0x106C0684,0x106E7714,13
0x106C0688,0x106E7718,7
0x106C0690,0x106E7720,5
0x106C069C,0x106E772C,5
0x106C06A0,0x106E7730,2
0x106C06A4,0x106E7734,6
0x106C06A8,0x106E7738,9
0x106C0860,0x106E78F0,17
0x106C0864,0x106E78F4,3
0x106C086C,0x106E78FC,1
0x106C0870,0x106E7900,3
0x106C0874,0x106E7904,3
0x106C087C,0x106E790C,1
0x106C0880,0x106E7910,3
0x106C0884,0x106E7914,3
0x106C088C,0x106E791C,1
0x106C0890,0x106E7920,5
0x106C0894,0x106E7924,5
0x106C089C,0x106E792C,1
0x106C08A0,0x106E7930,9
0x106C08A4,0x106E7934,2
0x106C08A8,0x106E7938,2
0x106C08AC,0x106E793C,2
0x106C08B0,0x106E7940,2
0x106C08B4,0x106E7944,2
0x106C08B8,0x106E7948,2
0x106C08BC,0x106E794C,2
0x106C08C0,0x106E7950,2
0x106C08C4,0x106E7954,2
0x106C08C8,0x106E7958,2
0x106C08CC,0x106E795C,2
0x106C08D0,0x106E7960,2
0x106C08D4,0x106E7964,2
0x106C08D8,0x106E7968,2
0x106C08DC,0x106E796C,2
0x106C0920,0x106E79B0,4
0x106C0928,0x106E79B8,2
0x106C092A,0x106E79BA,1
0x106C092B,0x106E79BB,1
0x106C0938,0x106E79C8,2
0x106C0940,0x106E79D0,1
0x106C0944,0x106E79D4,6
0x106C0950,0x106E79E0,1
0x106C0960,0x106E79F0,5
0x106C0964,0x106E79F4,2
0x106C0968,0x106E79F8,10
0x106C1170,0x106E8200,3
0x106C1174,0x106E8204,6
0x106C1178,0x106E8208,1
0x106C1580,0x106E8610,10
0x106C1588,0x106E8618,1
0x106C1608,0x106E8698,1
0x106C160C,0x106E869C,1
0x106C1610,0x106E86A0,5
0x106C1614,0x106E86A4,18
0x106C1618,0x106E86A8,2
0x106C161C,0x106E86AC,2
0x106C1620,0x106E86B0,1
0x106C1628,0x106E86B8,1
0x106C1638,0x106E86C8,4
0x106C1690,0x106E8720,3
0x106C1788,0x106E8818,8
0x106C178A,0x106E881A,2
0x106C178C,0x106E881C,5
0x106C178E,0x106E881E,2
0x106C1790,0x106E8820,2
0x106C1792,0x106E8822,2
0x106C1794,0x106E8824,5
0x106C1796,0x106E8826,2
0x106C198C,0x106E8A1C,5
0x106C2990,0x106E9A20,6
0x106C299C,0x106E9A2C,13
0x106C29A0,0x106E9A30,1
0x106C29A4,0x106E9A34,1
0x106C29A8,0x106E9A38,9
0x106C29AC,0x106E9A3C,1
0x106C29B0,0x106E9A40,1
0x106C29B4,0x106E9A44,1
0x106C29B8,0x106E9A48,1
0x106C29BC,0x106E9A4C,1
0x106C29C0,0x106E9A50,1
0x106C29C4,0x106E9A54,1
0x106C29C8,0x106E9A58,1
0x106C29CC,0x106E9A5C,1
0x106C29D0,0x106E9A60,1
0x106C29D4,0x106E9A64,1
0x106C29D8,0x106E9A68,1
0x106C29DC,0x106E9A6C,1
0x106C29E0,0x106E9A70,1
0x106C29E4,0x106E9A74,1
0x106C29E8,0x106E9A78,1
0x106C29F0,0x106E9A80,1
0x106C2CF0,0x106E9D80,2
0x106C2CF4,0x106E9D84,2
0x106C2CF8,0x106E9D88,15
0x106C2CFC,0x106E9D8C,54
0x106C2D0F,0x106E9D9F,1
0x106C3110,0x106EA1A0,1
0x106C32C8,0x106EA358,1
0x106C32CC,0x106EA35C,2
0x106C32D0,0x106EA360,12
0x106C32F8,0x106EA388,1
0x106C3300,0x106EA390,2
0x106C3308,0x106EA398,9
0x106C3310,0x106EA3A0,10
0x106C3314,0x106EA3A4,4
0x106C331C,0x106EA3AC,8
0x106C3320,0x106EA3B0,4
0x106C3328,0x106EA3B8,8
0x106C332C,0x106EA3BC,4
0x106C3334,0x106EA3C4,8
0x106C3338,0x106EA3C8,4
0x106C3340,0x106EA3D0,8
0x106C3344,0x106EA3D4,4
0x106C334C,0x106EA3DC,5
0x106C3350,0x106EA3E0,4
0x106C3358,0x106EA3E8,4
0x106C3359,0x106EA3E9,3
0x106C335A,0x106EA3EA,3
0x106C335B,0x106EA3EB,3
0x106C335C,0x106EA3EC,10
0x106C3360,0x106EA3F0,2
0x106C3364,0x106EA3F4,6
0x106C3380,0x106EA410,4
0x106C3398,0x106EA428,15
0x106C33A0,0x106EA430,4
0x106C33B8,0x106EA448,2
0x106C53C0,0x106EC450,1
0x106C5468,0x106EC4F8,4
0x106C5478,0x106EC508,3
0x106C5618,0x106EC6A8,3
0x106C5630,0x106EC6C0,1
0x106C56B0,0x106EC740,8
0x106C56B4,0x106EC744,8
0x106C56D0,0x106EC760,1
0x106C56D8,0x106EC768,8
0x106C56DC,0x106EC76C,2
0x106C56E0,0x106EC770,1
0x106C56E4,0x106EC774,1
0x106C56E8,0x106EC778,3
0x106C56F8,0x106EC788,5
0x106C5704,0x106EC794,1
0x106C5708,0x106EC798,16
0x106C58C0,0x106EC950,4
0x106C5AB0,0x106ECB40,1
0x106C5AB4,0x106ECB44,2
0x106C5AB8,0x106ECB48,3
0x106C62D8,0x106ED368,4
0x106C62E0,0x106ED370,2
0x106C6490,0x106ED520,15
0x106C6494,0x106ED524,4
0x106C6495,0x106ED525,3
0x106C6496,0x106ED526,3
0x106C6497,0x106ED527,3
0x106C64D8,0x106ED568,13
0x106C64E0,0x106ED570,4
0x106C64F8,0x106ED588,4
0x106C6540,0x106ED5D0,4
0x106C6558,0x106ED5E8,1
0x106C6598,0x106ED628,1
0x106C65A0,0x106ED630,2
0x106C65B8,0x106ED648,3
0x106C65BC,0x106ED64C,5
0x106C65C0,0x106ED650,3
0x106C65D8,0x106ED668,3
0x106C65DC,0x106ED66C,6
0x106C65E0,0x106ED670,5
0x106C65E4,0x106ED674,18
0x106C65E8,0x106ED678,1
0x106C65EC,0x106ED67C,18
0x106C65F4,0x106ED684,1
0x106C65F8,0x106ED688,4
0x106C65FC,0x106ED68C,1
0x106C6604,0x106ED694,1
0x106C6608,0x106ED698,1
0x106C660C,0x106ED69C,4
0x106C6614,0x106ED6A4,1
0x106C6618,0x106ED6A8,12
0x106C661C,0x106ED6AC,17
0x106C6620,0x106ED6B0,19
0x106C6624,0x106ED6B4,18
0x106C6648,0x106ED6D8,1
0x106C664C,0x106ED6DC,1
0x106C6650,0x106ED6E0,1
0x106C6654,0x106ED6E4,32
0x106C6658,0x106ED6E8,2
0x106C665C,0x106ED6EC,2
0x106C6660,0x106ED6F0,2
0x106C6664,0x106ED6F4,3
0x106C6668,0x106ED6F8,1
0x106C666C,0x106ED6FC,5
0x106C6670,0x106ED700,2
0x106C6678,0x106ED708,5
0x106C7C38,0x106EECC8,1
0x106C7C3C,0x106EECCC,4
0x106C7C40,0x106EECD0,2
0x106C7C54,0x106EECE4,6
0x106C7C5C,0x106EECEC,3
0x106C7C60,0x106EECF0,1
0x106C7C64,0x106EECF4,18
0x106C7C6C,0x106EECFC,1
0x106C7C70,0x106EED00,1
0x106C7C74,0x106EED04,1
0x106C7C80,0x106EED10,5
0x106C7C84,0x106EED14,2
0x106C7C88,0x106EED18,1
0x106C7C8C,0x106EED1C,1
0x106C7C90,0x106EED20,1
0x106C7C94,0x106EED24,5
0x106C7C98,0x106EED28,2
0x106C7CA8,0x106EED38,3
0x106C7CAC,0x106EED3C,1
0x106C7CB4,0x106EED44,1
0x106C7CB8,0x106EED48,16
0x106C7CC0,0x106EED50,3
0x106C7CC4,0x106EED54,2
0x106C7CC8,0x106EED58,2
0x106C7CC9,0x106EED59,2
0x106C7CCA,0x106EED5A,2
0x106C7CCC,0x106EED5C,1
0x106C7CD0,0x106EED60,1
0x106C7CD4,0x106EED64,7
0x106C7CD8,0x106EED68,3
0x106C7CDC,0x106EED6C,1
0x106C7CE0,0x106EED70,2
0x106C7CE8,0x106EED78,2
0x106C7DA8,0x106EEE38,2
0x106C7E7C,0x106EEF0C,1
0x106C7E80,0x106EEF10,1
0x106C7E84,0x106EEF14,1
0x10A99778,0x10AC0808,1
0x10A9977C,0x10AC080C,1
0x10A99780,0x10AC0810,1
0x10A99BA8,0x10AC0C38,10
0x10A99BAC,0x10AC0C3C,6
0x10A99BB0,0x10AC0C40,6
0x10A99BB4,0x10AC0C44,6
0x10A99BB8,0x10AC0C48,7
0x10A99BBC,0x10AC0C4C,4
0x10A99BC0,0x10AC0C50,6
0x10A99BC4,0x10AC0C54,4
0x10A99BC8,0x10AC0C58,2
0x10A99BCC,0x10AC0C5C,5
0x10A99BD0,0x10AC0C60,8
0x10A99BD4,0x10AC0C64,9
0x10A99BD6,0x10AC0C66,6
0x10A99BD7,0x10AC0C67,4
0x10A99BF4,0x10AC0C84,1
0x10A9BBB4,0x10AC2C44,1
0x10A9BBB8,0x10AC2C48,2
0x10A9BBC0,0x10AC2C50,3
0x10A9BBC4,0x10AC2C54,4
0x10A9BBC8,0x10AC2C58,3
0x10A9BBCC,0x10AC2C5C,4
0x10A9BBD0,0x10AC2C60,6
0x10A9BBD4,0x10AC2C64,1
0x10A9BCD0,0x10AC2D60,6
0x10A9BDD0,0x10AC2E60,2
0x10A9BED0,0x10AC2F60,2
0x10A9BFD0,0x10AC3060,2
0x10A9BFD8,0x10AC3068,3
0x10A9BFDC,0x10AC306C,4
0x10A9BFE0,0x10AC3070,2
0x10A9BFF0,0x10AC3080,1
0x10A9C0B8,0x10AC3148,2
0x10A9C0C8,0x10AC3158,1
0x10A9C0CC,0x10AC315C,2
0x10A9CDF0,0x10AC3E80,6
0x10A9CECC,0x10AC3F5C,1
0x10A9CEF8,0x10AC3F88,3
0x10A9CFFC,0x10AC408C,6
0x10A9D000,0x10AC4090,12
0x10A9D004,0x10AC4094,2
0x10A9D008,0x10AC4098,20
0x10A9D010,0x10AC40A0,2
0x10A9D018,0x10AC40A8,8
0x10A9D180,0x10AC4208,1
0x10A9D184,0x10AC420C,1
0x10A9D5C0,0x10AC4648,2
0x10A9D5C4,0x10AC464C,1
0x10A9D618,0x10AC46A0,2
0x10A9D638,0x10AC46C0,1
0x10A9D63C,0x10AC46C4,1
0x10A9D77C,0x10AC4804,1
0x10A9DA50,0x10AC4AD8,1
0x10A9DA54,0x10AC4ADC,1
0x10A9DB44,0x10AC4BCC,2
0x10A9DBD0,0x10AC4C58,2
0x10A9DBD8,0x10AC4C60,1
0x10A9DD28,0x10AC4DB0,7
0x10A9E150,0x10AC51D8,1
0x10AA2518,0x10AC5870,1
0x10AA2538,0x10AC5890,6
0x10AA253C,0x10AC5894,8
0x10AA2540,0x10AC5898,5
0x10AA2598,0x10AC58F0,7
0x10AA259C,0x10AC58F4,1
0x10AA25A0,0x10AC58F8,2
0x10AA25D4,0x10AC592C,1
0x10AA25D8,0x10AC5930,1
0x10AA25DC,0x10AC5934,1
0x10AA26F0,0x10AC5A48,8
0x10AA26F4,0x10AC5A4C,6
0x10AA26F5,0x10AC5A4D,4
0x10AA26F6,0x10AC5A4E,1
0x10AA270E,0x10AC5A66,1
0x10AA2740,0x10AC5A98,1
0x10AA27E0,0x10AC5B38,3
0x10AA27E2,0x10AC5B3A,3
0x10AA27EC,0x10AC5B44,1
0x10AA27F0,0x10AC5B48,1
0x10AA27F4,0x10AC5B4C,1
0x10AA27F8,0x10AC5B50,1
0x10AA2840,0x10AC5B98,14
0x10AA2844,0x10AC5B9C,7
0x10AA2848,0x10AC5BA0,2
0x10AA284C,0x10AC5BA4,1
0x10AA2850,0x10AC5BA8,6
0x10AA2854,0x10AC5BAC,7
0x10AA2858,0x10AC5BB0,3
0x10AA285C,0x10AC5BB4,5
0x10AA2868,0x10AC5BC0,1
0x10AA286C,0x10AC5BC4,7
0x10AA2870,0x10AC5BC8,4
0x10AA2874,0x10AC5BCC,3
0x10AA2878,0x10AC5BD0,1
0x10AA287C,0x10AC5BD4,17
0x10AA2880,0x10AC5BD8,7
0x10AA2884,0x10AC5BDC,16
0x10AA2888,0x10AC5BE0,7
0x10AA288C,0x10AC5BE4,8
0x10AA2890,0x10AC5BE8,2
0x10AA2894,0x10AC5BEC,5
0x10AA2898,0x10AC5BF0,10
0x10AA289C,0x10AC5BF4,3
0x10AA28A0,0x10AC5BF8,3
0x10AA28A4,0x10AC5BFC,11
0x10AA28A8,0x10AC5C00,7
0x10AA28AC,0x10AC5C04,7
0x10AA28B0,0x10AC5C08,2
0x10AA28B4,0x10AC5C0C,2
0x10AA28B8,0x10AC5C10,9
