d3d_addr,glide_addr,votes
0x1008F688,0x10077650,9
0x1008F68C,0x10077654,4
0x1008F690,0x10077658,14
0x1008F694,0x1007765C,22
0x1008F698,0x10077660,3
0x1008F69C,0x10077664,8
0x1008F6A0,0x10077668,1
0x1008F6A8,0x10077670,1
0x1008F6AC,0x10077674,3
0x1008F6B0,0x10077678,2
0x1008F6B4,0x1007767C,1
0x1008F6B8,0x10077680,2
0x1008F6F8,0x100776C0,1
0x1008F700,0x100776C8,1
0x1008F728,0x100776F0,1
0x1008F758,0x10077720,2
0x1008F788,0x10077750,1
0x1008F7A4,0x1007776C,1
0x1008F7A8,0x10077770,5
0x1008F7AC,0x10077774,1
0x1008F7B0,0x10077778,1
0x1008F7B8,0x10077780,12
0x1008F7BC,0x10077784,4
0x1008F7C0,0x10077788,4
0x1008F7C4,0x1007778C,4
0x1008F7C8,0x10077790,2
0x1008F7CC,0x10077794,4
0x1008F89C,0x10077864,1
0x1008F8C4,0x1007788C,1
0x1008F8C8,0x10077890,1
0x1008F8D0,0x10077898,7
0x1008F8D4,0x1007789C,2
0x1008F8D8,0x100778A0,1
0x1008F8DC,0x100778A4,5
0x1008F8E0,0x100778A8,2
0x1008F8E4,0x100778AC,8
0x1008F8EC,0x100778B4,1
0x1008F8F0,0x100778B8,2
0x1008F8F4,0x100778BC,2
0x1008F8F8,0x100778C0,3
0x1008F8FC,0x100778C4,1
0x1008F900,0x100778C8,1
0x1008F904,0x100778CC,5
0x1008F908,0x100778D0,1
0x1008F90C,0x100778D4,1
0x1008F910,0x100778D8,23
0x1008F914,0x100778DC,8
0x1008F918,0x100778E0,6
0x1008F91C,0x100778E4,10
0x1008F920,0x100778E8,1
0x1008F928,0x100778F0,1
0x1008F92C,0x100778F4,4
0x1008F930,0x100778F8,20
0x1008F934,0x100778FC,1
0x1008F938,0x10077900,2
0x1008F93C,0x10077904,3
0x1008F940,0x10077908,2
0x1008F944,0x1007790C,4
0x1008F948,0x10077910,1
0x1008F950,0x10077918,3
0x1008F954,0x1007791C,2
0x1008F958,0x10077920,1
0x1008F960,0x10077928,1
0x1008F968,0x10077930,1
0x1008F970,0x10077938,1
0x1008F978,0x10077940,1
0x1008F97C,0x10077944,1
0x1008F980,0x10077948,1
0x1008F984,0x1007794C,1
0x1008F98C,0x10077954,1
0x1008F990,0x10077958,1
0x1008F99C,0x10077964,2
0x1008F9A0,0x10077968,4
0x1008F9A4,0x1007796C,1
0x1008F9A8,0x10077970,1
0x1008F9AC,0x10077974,1
0x1008F9B0,0x10077978,3
0x1008F9B4,0x1007797C,1
0x1008F9B8,0x10077980,2
0x1008F9BC,0x10077984,2
0x1008F9C0,0x10077988,1
0x1008F9EC,0x100779B4,1
0x1008F9F0,0x100779B8,1
0x1008F9F4,0x100779BC,1
0x1008F9F8,0x100779C0,2
0x1008F9FC,0x100779C4,2
0x1008FA00,0x100779C8,2
0x1008FA04,0x100779CC,2
0x1008FA08,0x100779D0,1
0x1008FA10,0x100779D8,1
0x1008FA14,0x100779DC,1
0x1008FA1C,0x100779E4,3
0x1008FA20,0x100779E8,3
0x1008FA28,0x100779F0,1
0x1008FA30,0x100779F8,1
0x1008FA34,0x100779FC,1
0x1008FA38,0x10077A00,1
0x1008FA3C,0x10077A04,1
0x1008FA40,0x10077A08,1
0x1008FA44,0x10077A0C,1
0x1008FA48,0x10077A10,1
0x1008FA4C,0x10077A14,1
0x1008FA50,0x10077A18,1
0x1008FA54,0x10077A1C,1
0x1008FA58,0x10077A20,1
0x1008FA5C,0x10077A24,3
0x1008FA68,0x10077A30,1
0x1008FA98,0x10077A60,1
0x1008FAA4,0x10077A6C,1
0x1008FAA8,0x10077A70,3
0x1008FAB0,0x10077A78,40
0x1008FAB4,0x10077A7C,11
0x1008FAB8,0x10077A80,4
0x1008FAF0,0x10077AB8,5
0x1008FB00,0x10077AC8,8
0x1008FB64,0x10077B2C,1
0x1008FB68,0x10077B30,3
0x1008FB6C,0x10077B34,3
0x1008FB70,0x10077B38,12
0x1008FB74,0x10077B3C,1
0x1008FB78,0x10077B40,3
0x1008FB7C,0x10077B44,1
0x1008FB80,0x10077B48,4
0x1008FB88,0x10077B50,4
0x1008FB90,0x10077B58,6
0x1008FB98,0x10077B60,6
0x1008FBC0,0x10077B88,3
0x1008FBC4,0x10077B8C,1
0x1008FBCC,0x10077B94,1
0x1008FBD0,0x10077B98,1
0x1008FBD4,0x10077B9C,3
0x1008FBD8,0x10077BA0,1
0x1008FBDC,0x10077BA4,3
0x1008FC00,0x10077BC8,1
0x1008FC08,0x10077BD0,1
0x1008FC10,0x10077BD8,2
0x1008FC14,0x10077BDC,1
0x1008FC18,0x10077BE0,6
0x1008FC38,0x10077C00,1
0x1008FC40,0x10077C08,1
0x1008FC48,0x10077C1C,6
0x1008FC4C,0x10077C20,3
0x1008FC54,0x10077C28,3
0x1008FC58,0x10077C30,1
0x1008FC5C,0x10077C34,3
0x1008FC60,0x10077C38,15
0x1008FC64,0x10077C3C,1
0x1008FC68,0x10077C40,1
0x1008FC70,0x10077C48,2
0x1008FC74,0x10077C4C,2
0x1008FC7C,0x10077C54,1
0x1008FC80,0x10077C58,2
0x1008FC84,0x10077C5C,2
0x1008FC88,0x10077C60,1
0x1008FC8C,0x10077C64,3
0x1008FC90,0x10077C68,2
0x1008FC94,0x10077C6C,2
0x1008FC98,0x10077C70,2
0x1008FC9C,0x10077C74,1
0x1008FCA0,0x10077C78,1
0x1008FCA4,0x10077C7C,1
0x1008FCA8,0x10077C80,4
0x1008FCE0,0x10077CB8,1
0x1008FD20,0x10077CF8,1
0x1008FD30,0x10077D08,1
0x10090650,0x10078628,1
0x10090730,0x10078708,1
0x10090740,0x10078718,1
0x10090780,0x10078758,1
0x100907D0,0x100787A8,1
0x10090850,0x10078828,1
0x10090870,0x10078848,1
0x10090880,0x10078858,1
0x10090890,0x10078868,3
0x100908A0,0x10078878,3
0x100908B0,0x10078888,1
0x100908C0,0x10078898,3
0x10090910,0x100788E8,1
0x10090930,0x10078908,1
0x10090940,0x10078918,1
0x100909A0,0x10078978,3
0x100909A4,0x1007897C,3
0x100909A8,0x10078980,3
0x100909AC,0x10078984,3
0x100909C0,0x10078998,1
0x100909C4,0x1007899C,1
0x100909C8,0x100789A0,1
0x100909CC,0x100789A4,1
0x100909E0,0x100789B8,2
0x100909E4,0x100789BC,1
0x100909E8,0x100789C0,1
0x100909EC,0x100789C4,1
0x10090A00,0x100789D8,1
0x10090A04,0x100789DC,1
0x10090A08,0x100789E0,1
0x10090A0C,0x100789E4,1
0x10090A20,0x100789F8,1
0x10090A24,0x100789FC,1
0x10090A28,0x10078A00,1
0x10090A2C,0x10078A04,1
0x10090A40,0x10078A18,1
0x10090A60,0x10078A38,1
0x10091468,0x10079438,1
0x10091478,0x10079448,1
0x10091488,0x10079458,1
0x100940A4,0x1007B074,25
0x100940A8,0x1007B078,10
0x10094294,0x1007B264,24
0x10094298,0x1007B268,2
0x10094350,0x1007B320,5
0x10094354,0x1007B324,4
0x10094358,0x1007B328,4
0x1009435C,0x1007B32C,4
0x10094360,0x1007B330,1
0x100943A8,0x1007B378,1
