d3d_va,glide_va,size,class,matched_by
0x1001AEE0,,64,d3d_only,
0x1001AF20,,131,d3d_only,
0x1001AFB0,,119,d3d_only,
0x1001B030,,85,d3d_only,
0x1001B090,,488,d3d_only,
0x1001B280,,77,d3d_only,
0x1001B2D0,,65,d3d_only,
0x1001B320,,135,d3d_only,
0x1001B3B0,,114,d3d_only,
0x1001B430,,85,d3d_only,
0x1001B490,,127,d3d_only,
0x1001B510,,131,d3d_only,
0x1001B5A0,,135,d3d_only,
0x1001B630,,94,d3d_only,
0x1001B690,,291,d3d_only,
0x1001B7C0,,191,d3d_only,
0x1001B880,,210,d3d_only,
0x1001B960,,12,d3d_only,
0x1001B970,,43,d3d_only,
0x1001B9A0,,85,d3d_only,
0x1001BA00,,13,d3d_only,
0x1001BA10,,86,d3d_only,
0x1001BA70,,92,d3d_only,
0x1001BAD0,,11,d3d_only,
0x1001BAE0,,26,d3d_only,
0x1001BB00,,125,d3d_only,
0x1001BB80,0x1001E1E0,27,shared,body
0x1001BBA0,0x1001E1E0,27,shared,body
0x1001BBC0,0x1001E220,43,shared,body
0x1001BBF0,,45,d3d_only,
0x1001BC20,0x1001E220,43,shared,body
0x1001BC50,0x1001E220,43,shared,body
0x1001BC90,,213,d3d_only,
0x1001BD70,,149,d3d_only,
0x1001BE10,0x1001E300,32,shared,body
0x1001BE30,0x1001E320,96,shared,body
0x1001BE90,,1934,d3d_only,
0x1001C620,,28,d3d_only,
0x1001C640,,72,d3d_only,
0x1001C690,,257,d3d_only,
0x1001C7A0,0x1001E720,73,shared,body
0x1001C7F0,0x1001E770,36,shared,body
0x1001C820,,488,d3d_only,
0x1001CA10,,126,d3d_only,
0x1001CA90,,176,d3d_only,
0x1001CB40,0x1001E930,183,shared,body
0x1001CC00,0x1001E9F0,110,shared,body
0x1001CC70,,40,d3d_only,
0x1001CCA0,0x1001E930,183,shared,body
0x1001CD60,0x1001EB10,17,shared,body
0x1001CD80,0x1001EB10,17,shared,body
0x1001CDA0,,197,d3d_only,
0x1001CE70,,191,d3d_only,
0x1001CF30,0x1001EC30,178,shared,body
0x1001CFF0,,934,d3d_only,
0x1001D3A0,,117,d3d_only,
0x1001D420,,1008,d3d_only,
0x1001D810,0x1001F0D0,303,shared,body
0x1001D940,0x1001F200,170,shared,body
0x1001D9F0,0x1001F2B0,311,shared,body
0x1001DB30,0x1001F3F0,311,shared,body
0x1001DC70,0x1001F530,311,shared,body
0x1001DDB0,0x1001F670,311,shared,body
0x1001DEF0,0x1001F7B0,311,shared,body
0x1001E030,0x1001F8F0,311,shared,body
0x1001E170,,823,d3d_only,
0x1001E4B0,,33,d3d_only,
0x1001E4E0,,236,d3d_only,
0x1001E5D0,,439,d3d_only,
0x1001E790,0x1001FD40,37,shared,body
0x1001E7C0,,441,d3d_only,
0x1001E980,,671,d3d_only,
0x1001EC20,,643,d3d_only,
0x1001EEB0,,1021,d3d_only,
0x1001F2B0,,671,d3d_only,
0x1001F550,,643,d3d_only,
0x1001F7E0,,1014,d3d_only,
0x1001FBE0,,934,d3d_only,
0x1001FF90,,1001,d3d_only,
0x10020380,,620,d3d_only,
0x100205F0,,620,d3d_only,
0x10020860,,823,d3d_only,
0x10020BA0,,439,d3d_only,
0x10020D60,,60,d3d_only,
0x10020DA0,0x10021060,26,shared,body
0x10020DC0,0x10021080,296,shared,body
0x10020EF0,0x100211B0,35,shared,body
0x10020F20,0x100211E0,33,shared,body
0x10020F50,0x10021210,43,shared,body
0x10020F80,0x10021250,27,shared,body
0x10020FA0,,1392,d3d_only,
0x10021510,0x10021570,79,shared,body
0x10021560,,1567,d3d_only,
0x10021B80,0x100219D0,75,shared,body
0x10021BD0,,682,d3d_only,
0x10021E80,,1097,d3d_only,
0x100222D0,,119,d3d_only,
0x10022350,,301,d3d_only,
0x10022480,,1133,d3d_only,
0x100228F0,,1223,d3d_only,
0x10022DC0,0x10022120,162,shared,body
0x10022E70,,856,d3d_only,
0x100231D0,,1223,d3d_only,
0x100236A0,,874,d3d_only,
0x10023A10,,681,d3d_only,
0x10023CC0,,1168,d3d_only,
0x10024150,0x10023810,152,shared,body
0x10024240,0x10023900,27,shared,body
0x10024260,,138,d3d_only,
0x100242F0,0x100239C0,187,shared,body
0x100243D0,0x10021240,8,shared,body
0x100243E0,,113,d3d_only,
0x10024460,0x10023B10,120,shared,prefix
0x100244E0,,98,d3d_only,
0x10024550,,756,d3d_only,
0x10024850,,562,d3d_only,
0x10024A90,0x10023C90,29,shared,body
0x10024AB0,,46,d3d_only,
0x10024AE0,,114,d3d_only,
0x10024B60,,79,d3d_only,
0x10024BB0,,56,d3d_only,
0x10024BF0,,1443,d3d_only,
0x100251A0,0x100242E0,430,shared,body
0x10025350,,416,d3d_only,
0x100254F0,,765,d3d_only,
0x10025800,,35,d3d_only,
0x10025830,,640,d3d_only,
0x10025AB0,,8288,d3d_only,
0x10027B10,,116,d3d_only,
0x10027B90,0x10027220,97,shared,body
0x10027C00,0x10027290,96,shared,body
0x10027C60,,1432,d3d_only,
0x10028200,0x100275C0,333,shared,body
0x10028350,,330,d3d_only,
0x100284A0,,386,d3d_only,
0x10028630,,235,d3d_only,
0x10028720,0x10029290,253,shared,body
0x10028860,,421,d3d_only,
0x10028A10,,263,d3d_only,
0x10028B20,,203,d3d_only,
0x10028BF0,0x10027F00,124,shared,body
0x10028C70,0x10027F80,39,shared,body
0x10028CA0,,349,d3d_only,
0x10028E00,,105,d3d_only,
0x10028E70,,483,d3d_only,
0x10029060,,50,d3d_only,
0x100290A0,,53,d3d_only,
0x100290E0,0x10028820,476,shared,body
0x10029410,0x10028B50,92,shared,body
0x10029470,,2452,d3d_only,
0x10029E10,,69,d3d_only,
0x10029E60,0x100293D0,19,shared,body
0x10029E80,0x100293F0,33,shared,body
0x10029EB0,0x10029420,83,shared,body
0x10029F10,0x10029480,109,shared,body
0x10029F80,0x100294F0,20,shared,body
0x10029FA0,0x10029510,94,shared,body
0x1002A000,0x10029570,25,shared,body
0x1002A020,0x10029590,26,shared,body
0x1002A040,0x100295B0,244,shared,body
0x1002A140,0x100296B0,91,shared,body
0x1002A1A0,0x10029710,107,shared,body
0x1002A210,0x10029780,55,shared,body
0x1002A250,0x100297C0,47,shared,body
0x1002A280,0x100297F0,196,shared,body
0x1002A350,,212,d3d_only,
0x1002A430,,358,d3d_only,
0x1002A5A0,,154,d3d_only,
0x1002A640,,253,d3d_only,
0x1002A740,0x10029C70,91,shared,body
0x1002A7A0,,243,d3d_only,
0x1002A8A0,0x10017910,1306,shared,body
0x1002ADC0,,211,d3d_only,
0x1002AEA0,0x10017F10,25,shared,body
0x1002AEC0,0x10017F30,39,shared,body
0x1002AEF0,0x10017F60,21,shared,body
0x1002AF10,0x10017F80,529,shared,body
0x1002B130,0x100181A0,142,shared,body
0x1002B1C0,0x10018230,93,shared,body
0x1002B220,0x10018230,93,shared,body
0x1002B280,0x100182F0,18,shared,body
0x1002B2A0,0x10018310,37,shared,body
0x1002B2D0,0x10018340,37,shared,body
0x1002B300,0x10018370,56,shared,body
0x1002B340,0x100183B0,803,shared,body
0x1002B670,0x100186E0,685,shared,body
0x1002B920,0x10018990,9,shared,body
0x1002B930,0x100189A0,20,shared,body
0x1002B950,0x10017F60,21,shared,body
0x1002B970,0x100189E0,43,shared,body
0x1002B9A0,0x10018A10,25,shared,body
0x1002B9C0,0x10018A30,13,shared,body
0x1002B9D0,0x100168B0,10,shared,body
0x1002B9E0,0x10018A50,29,shared,body
0x1002BA00,0x10018A70,32,shared,body
0x1002BA20,0x10018A90,51,shared,body
0x1002BA60,0x10018AD0,32,shared,body
0x1002BA80,0x10018B40,32,shared,body
0x1002BAA0,0x10018B60,493,shared,body
0x1002BC90,0x10018D50,180,shared,body
0x1002BD50,0x10018E10,114,shared,body
0x1002BDD0,0x10018E90,89,shared,body
0x1002BE30,0x10018EF0,203,shared,body
0x1002BF00,0x10018FC0,58,shared,body
0x1002BF40,0x10019000,60,shared,body
0x1002BF80,0x10019040,182,shared,body
0x1002C150,0x10019210,61,shared,body
0x1002C190,0x10019250,29,shared,body
0x1002C1B0,0x10019270,51,shared,body
0x1002C1F0,0x100192B0,30,shared,body
0x1002C210,0x100192D0,117,shared,body
0x1002C290,0x10019800,10,shared,body
0x1002C2A0,0x10019810,10,shared,body
0x1002C2B0,0x10019820,14,shared,body
0x1002C2C0,0x10019810,10,shared,body
0x1002C2D0,0x10019840,71,shared,body
0x1002C320,0x10019890,98,shared,body
0x1002C390,0x10019900,34,shared,body
0x1002C3C0,,78,d3d_only,
0x1002C410,0x10019980,31,shared,body
0x1002C430,0x100199A0,106,shared,body
0x1002C4A0,0x10019A10,44,shared,body
0x1002C4D0,0x10019A40,35,shared,body
0x1002C500,0x10019A70,11222,shared,prefix
0x1002F130,0x1001C6A0,251,shared,body
0x1002F230,0x1001C7A0,112,shared,body
0x1002F2A0,0x1001C810,128,shared,body
0x1002F320,0x1001C890,312,shared,body
0x1002F460,0x1001C9D0,96,shared,body
0x1002F4C0,0x1001CA30,450,shared,body
0x1002F690,0x1001CD50,21,shared,body
0x1002F6B0,0x1001CD70,36,shared,body
0x1002F6E0,0x1001CDA0,16,shared,body
0x1002F6F0,0x1001CDB0,17,shared,body
0x1002F710,,119,d3d_only,
0x1002F790,,350,d3d_only,
0x1002F8F0,0x1001CF80,12,shared,body
0x1002F900,0x1001CF90,440,shared,body
0x1002FAC0,0x1001D150,43,shared,body
0x1002FAF0,0x1001D180,33,shared,body
0x1002FB20,0x1001D1B0,1768,shared,prefix
0x10030210,0x1001D8A0,924,shared,body
0x100305B0,0x1001DC40,55,shared,body
0x100305F0,0x1001DC80,16,shared,body
0x10030600,0x1001DC90,55,shared,body
0x10030640,0x1001DCD0,37,shared,body
0x10030670,0x1001DD00,65,shared,body
0x100306C0,0x10029D70,224,shared,body
0x100307A0,0x10029E50,47,shared,body
0x100307D0,0x10029E80,59,shared,body
0x10030810,0x10029EC0,287,shared,prefix
0x10030930,0x10029FE0,106,shared,body
0x100309A0,0x1002A050,427,shared,body
0x10030B50,0x1002A200,645,shared,body
0x10030DE0,,56,d3d_only,
0x10030E20,0x1002A4D0,186,shared,body
0x10030EE0,0x1002A590,514,shared,body
0x100310F0,0x1002A7A0,70,shared,body
0x10031140,0x1002A7F0,71,shared,body
0x10031190,0x1002A840,84,shared,body
0x100311E4,0x1002A894,46,shared,body
0x10031212,0x1002A8C2,21,shared,body
0x10031227,0x1002A8D7,91,shared,body
0x10031282,0x1002A932,10,shared,body
0x1003128C,0x1002A93C,27,shared,body
0x100312A7,0x1002A957,155,shared,body
0x10031347,,314,d3d_only,
0x10031481,0x1002AB32,93,shared,body
0x100314E8,0x1002AB99,416,shared,body
0x10031688,0x1002AD39,478,shared,body
0x10031866,0x1002AF17,1241,shared,body
0x10031D3F,0x1002B3F0,144,shared,body
0x10031DCF,0x1002B480,1303,shared,body
0x100322E6,0x1002B997,1421,shared,body
0x10032873,0x1002BF24,19,shared,body
0x10032886,0x1002BF37,20,shared,body
0x1003289F,0x1002BF50,419,shared,body
0x10032A42,0x1002C0F3,502,shared,body
0x10032C38,0x1002C2E9,442,shared,body
0x10032DF2,0x1002C4A3,102,shared,body
0x10032E5D,0x1002C50E,1585,shared,body
0x10033498,0x1002CB49,744,shared,body
0x10033780,0x1002CE31,46,shared,body
0x100337AE,0x1002CE5F,59,shared,body
0x100337E9,0x1002CE9A,79,shared,body
0x10033838,0x1002CEE9,1145,shared,body
0x10033CB1,0x1002D362,466,shared,body
0x10033E83,0x1002D534,251,shared,body
0x10033F7E,0x1002D62F,255,shared,body
0x1003407D,0x1002D72E,310,shared,body
0x100341B3,0x1002D864,586,shared,body
0x1003445A,0x1002DB0B,125,shared,body
0x100344D7,0x1002DB88,424,shared,body
0x1003467F,0x1002DD30,106,shared,body
0x100346E9,0x1002DD9A,106,shared,body
0x10034753,0x1002DE04,103,shared,body
0x100347BA,0x1002DE6B,88,shared,body
0x10034812,0x1002DEC3,627,shared,body
0x10034A8A,0x1002E13B,75,shared,body
0x10034AD5,0x1002E186,344,shared,body
0x10034C37,0x1002E2E8,13,shared,body
0x10034C44,0x1002E2E8,13,shared,body
0x10034C51,0x1002E302,21,shared,body
0x10034C66,0x1002E2E8,13,shared,body
0x10034C73,0x1002E324,11,shared,body
0x10034C88,0x1002E339,32,shared,body
0x10034CA8,0x1002E359,29,shared,body
0x10034CC5,0x1002E376,579,shared,body
0x10034F08,0x1002E5B9,313,shared,body
0x10035041,0x1002E6F2,24,shared,body
0x10035060,0x1002E711,41,shared,body
0x10035089,0x1002E73A,101,shared,body
0x100350EE,0x1002E79F,868,shared,body
0x10035452,0x1002EB03,201,shared,body
0x10035520,0x1002EBD1,91,shared,body
0x1003557B,0x1002EC2C,10,shared,body
0x10035585,0x1002EC36,118,shared,body
0x100355FB,0x1002ECAC,21,shared,body
0x10035610,0x1002ECC1,21,shared,body
0x10035625,0x1002ECD6,21,shared,body
0x1003563A,0x1002ECEB,1357,shared,body
0x10035B87,0x1002EC2C,10,shared,body
0x10035B91,0x1002F242,22,shared,body
0x10035BA7,0x1002F258,19,shared,body
0x10035BBA,0x1002F26B,23,shared,body
0x10035BD1,0x1002F282,153,shared,prefix
0x10035C70,0x1002F310,39,shared,body
0x10035CA0,0x1002F340,49,shared,body
0x10035CE0,0x1002F380,690,shared,body
0x10035FA0,0x1002F640,31,shared,body
0x10035FC0,0x1002F660,21,shared,body
0x10035FE0,0x1002F680,59,shared,body
0x10036020,0x1002F6C0,11,shared,body
0x10036030,0x1002F6D0,185,shared,body
0x100360F0,0x1002F790,2517,shared,body
0x10036BD0,0x10030270,47,shared,body
0x10036C00,0x100302A0,1062,shared,body
0x10037030,0x100306D0,51,shared,body
0x10037070,0x10030710,84,shared,body
0x100370D0,0x10030770,1641,shared,body
0x10037740,0x10030DE0,338,shared,prefix
0x100378A0,0x10030F40,11,shared,body
0x100378B0,,127,d3d_only,
0x10037930,0x10030FD0,83,shared,body
0x10037990,,252,d3d_only,
0x10037A90,,116,d3d_only,
0x10037B10,0x100311C0,764,shared,prefix
0x10037E10,0x100314D0,398,shared,body
0x10037FA0,0x10031660,58,shared,body
0x10037FE0,0x100316A0,43,shared,body
0x10038010,0x100316D0,563,shared,body
0x10038250,0x10031910,76,shared,body
0x100382A0,0x10031960,217,shared,body
0x10038380,0x10031A40,64,shared,body
0x100383C0,0x10018AF0,75,shared,body
0x10038410,0x10031A80,52,shared,body
0x10038450,0x10031AC0,188,shared,body
0x10038510,0x10031B80,1549,shared,body
0x10038B20,0x10032190,368,shared,body
0x10038CB0,0x10032320,461,shared,body
0x10038E80,0x10019800,10,shared,body
0x10038E90,0x10019810,10,shared,body
0x10038EA0,0x10019820,14,shared,body
0x10038EB0,0x10019810,10,shared,body
0x10038EC0,,103,d3d_only,
0x10038F30,0x100325B0,195,shared,prefix
0x10039000,0x10032680,32,shared,body
0x10039020,0x100326A0,469,shared,body
0x10039200,0x10032880,1464,shared,body
0x100397C0,0x10032E40,1877,shared,prefix
0x10039F20,0x100335A0,726,shared,body
0x1003A200,0x10033880,315,shared,body
0x1003A340,0x100339C0,398,shared,body
0x1003A4D0,0x10033B50,92,shared,body
0x1003A530,0x10033BB0,219,shared,body
0x1003A610,0x10033C90,67,shared,body
0x1003A660,0x10033CE0,73,shared,body
0x1003A6B0,0x10033D30,601,shared,prefix
0x1003A910,0x10033F90,55,shared,body
0x1003A950,0x10033FD0,55,shared,body
0x1003A990,0x10034010,657,shared,body
0x1003AC30,0x100342B0,83,shared,body
0x1003AC90,,37,d3d_only,
0x1003ACC0,0x10034340,31,shared,body
0x1003ACE0,0x10034360,37,shared,body
0x1003AD10,0x10034390,43,shared,body
0x1003AD40,0x100343C0,43,shared,body
0x1003AD70,0x100343F0,45,shared,body
0x1003ADA0,0x10034420,168,shared,body
0x1003AE50,0x100344D0,141,shared,body
0x1003AEE0,0x10034560,37,shared,body
0x1003AF10,0x10034590,35,shared,body
0x1003AF40,,37,d3d_only,
0x1003AF70,,33,d3d_only,
0x1003AFA0,0x10034620,57,shared,body
0x1003AFE0,0x10034660,49,shared,body
0x1003B020,0x100346A0,45,shared,body
0x1003B050,,55,d3d_only,
0x1003B090,0x10034710,15,shared,body
0x1003B0A0,0x10034720,55,shared,body
0x1003B0E0,0x10034760,75,shared,body
0x1003B130,0x100347B0,63,shared,body
0x1003B170,0x100347F0,65,shared,body
0x1003B1C0,0x10034840,46,shared,body
0x1003B1F0,,172,d3d_only,
0x1003B2A0,0x10034920,157,shared,body
0x1003B340,,163,d3d_only,
0x1003B3F0,0x10034A70,115,shared,body
0x1003B470,0x10034AF0,126,shared,body
0x1003B4F0,,696,d3d_only,
0x1003B7B0,0x10034E30,393,shared,body
0x1003B940,0x10034FC0,295,shared,body
0x1003BA70,0x100350F0,544,shared,body
0x1003BC90,0x10035310,176,shared,body
0x1003BD40,0x100168B0,10,shared,body
0x1003BD50,0x100353D0,41,shared,body
0x1003BD80,0x10035400,305,shared,prefix
0x1003BEB1,0x10035533,174,shared,body
0x1003BF60,0x100355F0,111,shared,body
0x1003BFD0,,78,d3d_only,
0x1003C020,0x100356B0,294,shared,prefix
0x1003C150,,135,d3d_only,
0x1003C1E0,0x10035870,71,shared,body
0x1003C230,0x100358C0,47,shared,body
0x1003C260,,319,d3d_only,
0x1003C3A0,0x10035A30,134,shared,body
0x1003C430,0x10035AC0,231,shared,body
0x1003C520,0x10035BB0,46,shared,body
0x1003C550,0x10035BE0,108,shared,body
0x1003C5C0,0x10035C50,383,shared,body
0x1003C740,0x10035DD0,615,shared,body
0x1003C9B0,0x10036040,53,shared,body
0x1003C9F0,0x10036080,123,shared,body
0x1003CA70,0x10036100,33,shared,body
0x1003CAA0,0x10036130,103,shared,body
0x1003CB10,0x100361A0,120,shared,body
0x1003CB90,0x10036220,224,shared,body
0x1003CC70,0x10036300,289,shared,body
0x1003CDA0,0x10036430,212,shared,body
0x1003CE80,0x10036510,311,shared,body
0x1003CFC0,0x10036650,30,shared,body
0x1003CFE0,0x10036670,68,shared,body
0x1003D030,0x100366C0,55,shared,body
0x1003D070,0x10036040,53,shared,body
0x1003D0B0,0x10036740,127,shared,body
0x1003D130,0x100367C0,71,shared,body
0x1003D180,0x10036810,142,shared,body
0x1003D210,0x100368A0,389,shared,body
0x1003D3A0,,218,d3d_only,
0x1003D480,0x10036B20,805,shared,body
0x1003D7B0,0x10036E50,158,shared,body
0x1003D850,0x10036EF0,65,shared,body
0x1003D8A0,0x10036F40,161,shared,body
0x1003D950,0x10036FF0,77,shared,body
0x1003D9A0,0x10037040,77,shared,body
0x1003D9F0,0x10037090,69,shared,body
0x1003DA40,0x100370E0,77,shared,body
0x1003DA90,0x10037130,67,shared,body
0x1003DAE0,0x10037180,28,shared,body
0x1003DB00,0x100371A0,67,shared,body
0x1003DB50,0x100371F0,108,shared,body
0x1003DBC0,0x10037260,78,shared,body
0x1003DC10,0x100372B0,933,shared,body
0x1003DFC0,0x10037660,66,shared,body
0x1003E010,0x100376B0,33,shared,body
0x1003E040,0x100376E0,33,shared,body
0x1003E070,0x10019800,10,shared,body
0x1003E080,0x10037720,90,shared,body
0x1003E0E0,0x10037780,25,shared,body
0x1003E100,,202,d3d_only,
0x1003E1D0,0x10037870,68,shared,body
0x1003E220,,50,d3d_only,
0x1003E260,,84,d3d_only,
0x1003E2C0,,69,d3d_only,
0x1003E310,0x10037920,137,shared,body
0x1003E3A0,0x100379B0,362,shared,body
0x1003E510,0x10037B20,368,shared,body
0x1003E680,,287,d3d_only,
0x1003E7A0,0x10037DC0,148,shared,body
0x1003E840,0x10037E60,100,shared,body
0x1003E8B0,0x10037ED0,11,shared,body
0x1003E8C0,0x10037EE0,13,shared,body
0x1003E8D0,,72,d3d_only,
0x1003E920,0x10037F40,35,shared,body
0x1003E950,0x10037F70,43,shared,body
0x1003E980,0x10037FA0,92,shared,body
0x1003E9E0,0x10037FA0,92,shared,body
0x1003EA40,0x10038060,78,shared,body
0x1003EA90,,73,d3d_only,
0x1003EAE0,0x10038150,40,shared,body
0x1003EB10,0x10038100,74,shared,body
0x1003EB60,0x10038150,40,shared,body
0x1003EB90,0x10038150,40,shared,body
0x1003EBC0,0x100381B0,31,shared,body
0x1003EBE0,0x100381D0,72,shared,body
0x1003EC30,0x10038100,74,shared,body
0x1003EC80,0x10038150,40,shared,body
0x1003ECB0,,91,d3d_only,
0x1003ED10,0x10038150,40,shared,body
0x1003ED40,,161,d3d_only,
0x1003EDF0,0x10038150,40,shared,body
0x1003EE20,0x10038350,48,shared,body
0x1003EE50,0x10038380,153,shared,body
0x1003EEF0,,106,d3d_only,
0x1003EF60,0x10038490,39,shared,body
0x1003EF90,,143,d3d_only,
0x1003F020,0x10038490,39,shared,body
0x1003F050,,81,d3d_only,
0x1003F0B0,,81,d3d_only,
0x1003F110,,81,d3d_only,
0x1003F170,0x100386B0,147,shared,body
0x1003F210,,106,d3d_only,
0x1003F280,0x10038490,39,shared,body
0x1003F2B0,0x100387F0,112,shared,body
0x1003F320,0x10038860,285,shared,body
0x1003F440,0x10038980,200,shared,body
0x1003F540,0x10038A80,156,shared,body
0x1003F5E0,0x10038B20,131,shared,body
0x1003F680,0x10038BC0,131,shared,body
0x1003F720,0x10038C60,61,shared,body
0x1003F760,0x10038CA0,136,shared,body
0x1003F7F0,0x10038D30,100,shared,body
0x1003F860,0x10038D30,100,shared,body
0x1003F8D0,0x10038E10,180,shared,body
0x1003F990,0x10038D30,100,shared,body
0x1003FA00,0x10038F40,567,shared,body
0x1003FC40,0x10038D30,100,shared,body
0x1003FCB0,0x100391F0,113,shared,body
0x1003FD30,0x10038D30,100,shared,body
0x1003FDA0,0x10038D30,100,shared,body
0x1003FE10,0x10038D30,100,shared,body
0x1003FE80,0x100393C0,330,shared,body
0x1003FFD0,0x10038D30,100,shared,body
0x10040040,0x10039580,136,shared,body
0x100400E0,0x10039620,563,shared,body
0x10040330,0x10039870,277,shared,body
0x10040450,0x10039990,540,shared,body
0x10040680,0x10039BC0,60,shared,body
0x100406C0,0x10039C00,89,shared,body
0x10040730,0x10039C70,98,shared,body
0x100407A0,0x10039CE0,61,shared,body
0x100407E0,0x10039D20,129,shared,body
0x10040870,0x10039DB0,30,shared,body
0x10040890,0x10039DB0,30,shared,body
0x100408B0,0x10039DB0,30,shared,body
0x100408D0,,90,d3d_only,
0x10040930,0x10039DB0,30,shared,body
0x10040950,0x10039E90,64,shared,body
0x10040990,0x10039ED0,30,shared,body
0x100409B0,0x10039DB0,30,shared,body
0x100409D0,0x10039DB0,30,shared,body
0x100409F0,0x10039F30,40,shared,body
0x10040A20,0x10039F60,42,shared,body
0x10040A50,,107,d3d_only,
0x10040AC0,,107,d3d_only,
0x10040B30,,196,d3d_only,
0x10040C00,,358,d3d_only,
0x10040D70,,358,d3d_only,
0x10040EE0,0x1003A420,339,shared,prefix
0x10041040,,320,d3d_only,
0x10041180,,320,d3d_only,
0x100412C0,0x1003A820,16,shared,body
0x100412D0,0x1003A830,11,shared,body
0x100412E0,0x1001CDA0,16,shared,body
0x100412F0,0x1003A850,16,shared,body
0x10041300,0x1003A860,163,shared,prefix
0x100413B0,,245,d3d_only,
0x100414B0,0x1003AA10,236,shared,prefix
0x100415A0,0x1003AB00,198,shared,prefix
0x10041670,,157,d3d_only,
0x10041710,,156,d3d_only,
0x100417B0,,180,d3d_only,
0x10041870,0x10039DB0,30,shared,body
0x10041890,0x1003ADF0,62,shared,body
0x100418D0,0x1003AE30,26,shared,body
0x100418F0,0x1003ADF0,62,shared,body
0x10041930,0x1003AE90,51,shared,body
0x10041970,0x1003AED0,90,shared,body
0x100419D0,0x1003AF30,42,shared,body
0x10041A00,0x1003AF60,179,shared,body
0x10041AC0,0x1003B020,144,shared,body
0x10041B50,0x1003B0B0,115,shared,body
0x10041BD0,0x1003B130,534,shared,prefix
0x10041DF0,,553,d3d_only,
0x10042020,0x1003B580,328,shared,prefix
0x10042170,0x1003B6D0,668,shared,prefix
0x10042410,0x1003AF60,179,shared,body
0x100424D0,0x1003B020,144,shared,body
0x10042560,,468,d3d_only,
0x10042740,,306,d3d_only,
0x10042880,0x1003BDE0,527,shared,prefix
0x10042A90,0x1003BFF0,48,shared,body
0x10042AC0,0x1003BFF0,48,shared,body
0x10042B00,0x1003BFF0,48,shared,body
0x10042B30,0x1003C080,330,shared,prefix
0x10042C80,0x1003C1D0,99,shared,body
0x10042CF0,0x1003C240,99,shared,body
0x10042D60,0x1003C2B0,92,shared,body
0x10042DC0,0x1003C310,93,shared,body
0x10042E20,0x1003C310,93,shared,body
0x10042E80,0x1003C3D0,93,shared,body
0x10042EE0,0x1003C430,457,shared,prefix
0x100430B0,0x1003C600,206,shared,prefix
0x10043180,0x1003C6D0,210,shared,prefix
0x10043260,0x1003C7B0,201,shared,body
0x10043330,0x1003C7B0,201,shared,body
0x10043400,0x1003C950,178,shared,body
0x100434C0,0x1003C7B0,201,shared,body
0x10043590,0x1003C3D0,93,shared,body
0x100435F0,0x1003C3D0,93,shared,body
0x10043650,0x1003C3D0,93,shared,body
0x100436B0,0x1003C3D0,93,shared,body
0x10043710,,72,d3d_only,
0x10043760,0x1003CCB0,77,shared,body
0x100437B0,0x1003CD00,32,shared,body
0x100437D0,0x1003CD20,64,shared,body
0x10043810,0x1003CD60,490,shared,body
0x10043A00,0x1003CF50,491,shared,body
0x10043BF0,0x1003D140,219,shared,body
0x10043CD0,0x1003C7B0,201,shared,body
0x10043DA0,0x1003C7B0,201,shared,body
0x10043E70,0x1003D3C0,216,shared,body
0x10043F50,0x1003D4A0,66,shared,body
0x10043FA0,0x1003D4F0,30,shared,body
0x10043FC0,0x1003D510,66,shared,body
0x10044010,0x1003D560,29,shared,body
0x10044030,0x1003D560,29,shared,body
0x10044050,0x1003D5A0,29,shared,body
0x10044070,0x1003D5A0,29,shared,body
0x10044090,0x1003D5E0,29,shared,body
0x100440B0,0x1003D5E0,29,shared,body
0x100440D0,0x1003C7B0,201,shared,body
0x100441A0,0x1003D6F0,210,shared,body
0x10044280,0x1003D7D0,340,shared,body
0x100443E0,0x1003D930,222,shared,body
0x100444C0,0x1003DA10,122,shared,body
0x10044540,0x1003DA90,162,shared,body
0x10044600,0x1003DB50,202,shared,prefix
0x100446D0,0x1003DC20,254,shared,body
0x100447D0,0x1003DD20,407,shared,body
0x10044970,0x1003DEC0,178,shared,body
0x10044A30,0x1003DF80,170,shared,body
0x10044AE0,0x1003E030,85,shared,body
0x10044B40,0x1003D510,66,shared,body
0x10044B90,0x1003E0E0,214,shared,body
0x10044C70,0x1003E1C0,56,shared,body
0x10044CB0,0x1003D510,66,shared,body
0x10044D00,0x1003E250,221,shared,body
0x10044DE0,0x1003E1C0,56,shared,body
0x10044E20,0x1003E370,223,shared,body
0x10044F00,0x1003E450,66,shared,body
0x10044F50,0x1003E4A0,244,shared,body
0x10045050,0x1003E5A0,57,shared,body
0x10045090,0x1003E5E0,42,shared,body
0x100450C0,0x1003E610,47,shared,body
0x100450F0,0x1003E640,30,shared,body
0x10045110,0x1003C7B0,201,shared,body
0x100451E0,0x1003E0E0,214,shared,body
0x100452C0,0x1003C7B0,201,shared,body
0x10045390,0x1003C7B0,201,shared,body
0x10045460,0x1003E9B0,184,shared,body
0x10045520,0x1003E9B0,184,shared,body
0x100455E0,0x1003C7B0,201,shared,body
0x100456B0,0x1003C7B0,201,shared,body
0x10045780,0x1003EC10,32,shared,body
0x100457A0,0x1003EC10,32,shared,body
0x100457C0,0x1003EC10,32,shared,body
0x100457E0,0x1003EC10,32,shared,body
0x10045800,0x1003EC10,32,shared,body
0x10045820,0x1003EC10,32,shared,body
0x10045840,0x1003EC10,32,shared,body
