d3d_va,glide_va,size,class,matched_by
0x1008E5D6,0x100750B0,11,shared,body
0x1008E5E1,0x100750B0,11,shared,body
0x1008E5EC,0x100750B0,11,shared,body
0x1008E5F7,0x10074B3B,10,shared,body
0x1008E610,0x100750B0,11,shared,body
0x1008E61B,0x100750B0,11,shared,body
0x1008E626,0x100750B0,11,shared,body
0x1008E631,0x100750B0,11,shared,body
0x1008E63C,0x100750B0,11,shared,body
0x1008E647,0x100750B0,11,shared,body
0x1008E652,0x10075A02,11,shared,body
0x1008E65D,0x10075A02,11,shared,body
0x1008E668,0x10075A02,11,shared,body
0x1008E673,0x100750B0,11,shared,body
0x1008E67E,0x100750B0,11,shared,body
0x1008E689,0x100750B0,11,shared,body
0x1008E694,0x100750B0,11,shared,body
0x1008E69F,0x100750B0,11,shared,body
0x1008E6AA,0x100750B0,11,shared,body
0x1008E6B5,0x100750B0,11,shared,body
0x1008E6C0,0x100750B0,11,shared,body
0x1008E6CB,0x100750B0,11,shared,body
0x1008E6D6,0x100750B0,11,shared,body
0x1008E6E1,0x100750B0,11,shared,body
0x1008E6EC,0x100750B0,11,shared,body
0x1008E6F7,0x10074B3B,10,shared,body
0x1008E710,0x100750B0,11,shared,body
0x1008E71B,0x100750B0,11,shared,body
0x1008E726,0x100750B0,11,shared,body
0x1008E731,0x100750B0,11,shared,body
0x1008E73C,0x100750B0,11,shared,body
0x1008E747,0x10074C10,11,shared,body
0x1008E752,0x10074C10,11,shared,body
0x1008E75D,0x10074C10,11,shared,body
0x1008E768,0x100750B0,11,shared,body
0x1008E773,0x100750B0,11,shared,body
0x1008E77E,0x100750B0,11,shared,body
0x1008E789,0x100750B0,11,shared,body
0x1008E794,0x100750B0,11,shared,body
0x1008E79F,0x100750B0,11,shared,body
0x1008E7AA,0x100750B0,11,shared,body
0x1008E7B5,0x100750B0,11,shared,body
0x1008E7C0,0x100750B0,11,shared,body
0x1008E7CB,0x100750B0,11,shared,body
0x1008E7D6,0x100750B0,11,shared,body
0x1008E7E1,0x100750B0,11,shared,body
