va,name,verdict,calls,captured,contexts,detail,date
0x1005aff0,BrCtlInputApply,EQUIVALENT,164534,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1005bcc0,BrSub10062C50,EQUIVALENT,110,63,22,20_quickrace_drive: 3 real call(s) agree,2026-09-24
0x1005c450,BrZeroRegions,EQUIVALENT,76773,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1005c490,BrRaceCarPickIndex,EQUIVALENT,352,120,40,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1005c8b0,FUN_1005c8b0,EQUIVALENT,76899,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1005d3c0,BrCarPathEval,EQUIVALENT,73923,66,11,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1005d770,BrCtlAiBody,EQUIVALENT,80325,73,13,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1005e7b0,BrCarStartInit_1005E7B0,EQUIVALENT,7,7,4,20_quickrace_drive/21_quickrace_finish/40_timeattack/61_mp_race: 7 real call(s) agree,2026-09-24
0x1005f310,BrRaceGridPlace,EQUIVALENT,92,30,20,20_quickrace_drive: 1 real call(s) agree,2026-09-24
0x1005f580,BrRankAssign,EQUIVALENT,76773,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1005f6c0,BrLapSaveRestore,EQUIVALENT,30774,18,3,50_championship: 6 real call(s) agree,2026-09-24
0x100608f0,BrVarSave,EQUIVALENT,6,6,6,21_quickrace_finish: 1 real call(s) agree,2026-09-24
0x10060970,BrVarLoad,EQUIVALENT,5,5,5,21_quickrace_finish: 1 real call(s) agree,2026-09-24
0x10060f40,BrSndNearestCommit,EQUIVALENT,76773,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10061470,BrSndCarStep,EQUIVALENT,168960,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10061f60,BrGhostPlaybackStep,EQUIVALENT,203560,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10062b80,BrCtrlCfgAssign,EQUIVALENT,2,2,1,30_options: 2 real call(s) agree,2026-09-24
0x10063a60,BrReplayRecord,EQUIVALENT,158283,109,19,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10063dd0,BrCollRespReset,EQUIVALENT,25,25,20,20_quickrace_drive: 1 real call(s) agree,2026-09-24
0x100643e0,BrRbVelAtBodyPoint,EQUIVALENT,364466,108,18,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x100644c0,BrRbVelAtPoint,EQUIVALENT,237769,117,40,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x100645a0,BrCarPhysDriveMatch,EQUIVALENT,150575,109,19,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x100656f0,FUN_100656F0,EQUIVALENT,901491,120,23,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10065c80,BrCrImpulseSolve,EQUIVALENT,34072,101,21,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10066d70,BrCollRespTipKick,EQUIVALENT,366462,111,19,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10067710,BrCrRespWalk,EQUIVALENT,366462,111,19,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x100684f0,BrCarPhysSpring,EQUIVALENT,152831,115,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10068900,BrObbOverlap,EQUIVALENT,47402,90,16,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10068f80,BrCarCarCollide,EQUIVALENT,602300,75,19,20_quickrace_drive: 4 real call(s) agree,2026-09-24
0x100695c0,BrSeasonLoad,EQUIVALENT,22,22,21,20_quickrace_drive: 1 real call(s) agree,2026-09-24
0x10069a80,BrGhostLoad,EQUIVALENT,3,3,3,25_cheats: 1 real call(s) agree,2026-09-24
0x1006a080,BrSaveLoad,EQUIVALENT,42,40,40,20_quickrace_drive: 2 real call(s) agree,2026-09-24
0x1006b0e0,BrNetPeerSendPass,EQUIVALENT,231,16,3,60_multiplayer: 4 real call(s) agree,2026-09-24
0x1006b240,BrSndVoiceCreate,EQUIVALENT,682,107,25,10_boot: 3 real call(s) agree,2026-09-24
0x1006b440,BrSndVoiceApplyVolume,EQUIVALENT,27525,132,28,10_boot: 3 real call(s) agree,2026-09-24
0x1006c290,BrSfxBankLoad,EQUIVALENT,58,54,53,10_boot: 1 real call(s) agree,2026-09-24
0x1006cda0,BrBitStreamInit,EQUIVALENT,5059,18,5,61_mp_race: 6 real call(s) agree,2026-09-24
0x1006ce50,BrBitStreamReadU24,EQUIVALENT,5205,18,10,61_mp_race: 6 real call(s) agree,2026-09-24
0x1006ce80,BrBitStreamReadS32,EQUIVALENT,40,15,5,61_mp_race: 6 real call(s) agree,2026-09-24
0x1006d0b0,BrBitStreamWriteBits_1006D0B0,EQUIVALENT,52027,18,18,61_mp_race: 6 real call(s) agree,2026-09-24
0x1006e360,BrTimeUpdate,EQUIVALENT,6429,122,68,10_boot: 1 real call(s) agree,2026-09-24
0x1006e5c0,BrCarTrackLocate,EQUIVALENT,164952,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1006ec30,FUN_1006ec30,EQUIVALENT,183514,120,40,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1006f170,BrCarStep,EQUIVALENT,164654,120,35,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1006f720,BrEntSetHeading,EQUIVALENT,41,37,20,20_quickrace_drive: 2 real call(s) agree,2026-09-24
0x1006fd50,BrEntitySetIndex,EQUIVALENT,129,73,47,20_quickrace_drive: 2 real call(s) agree,2026-09-24
0x100701b0,BrWavReadData,EQUIVALENT,575,103,25,10_boot: 3 real call(s) agree,2026-09-24
0x10070280,BrWavLoad,EQUIVALENT,682,107,25,10_boot: 3 real call(s) agree,2026-09-24
0x100706d0,BrInputPoll,EQUIVALENT,76774,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10072210,BrFfbUpdateSpring,EQUIVALENT,76773,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x100723d0,BrFfbEnumDevice,EQUIVALENT,1,1,1,31_ffb_wheel: 1 real call(s) agree,2026-09-24
0x100724c0,BrFfbInit,EQUIVALENT,2,2,2,30_options: 1 real call(s) agree,2026-09-24
