va,opt,reason
0x10022600,O2p,"original TU tu_022 is /O2 /Op; the sweep's raw-diff winner O2y is not the TU's options"
0x100221D0,O2p,"original TU tu_022 is /O2 /Op; the sweep's raw-diff winner O2 is not the TU's options"
