va,size,name
0x0040846C,17,
0x0040847D,26,
0x00408498,38,
0x004084BE,11,
0x004084C9,34,
0x004084EC,41,
0x00408515,42,
0x00408540,49,
0x00408571,109,
0x004085DF,24,
0x004085F8,13,
0x00408605,22,
0x0040861C,25,
0x00408640,11,
0x00408650,152,
0x004086F0,104,
0x00408760,301,
0x00408890,143,
0x00408920,378,
0x00408AA0,540,
0x00408CC0,47,
0x00408CF0,35,
0x00408D20,104,
0x00408D90,46,
0x00408DC0,45,
0x00408DF0,241,
0x00408EF0,114,
0x00408F62,4,
0x00408F66,24,
0x00408F7E,103,
0x00408FE5,72,
0x0040902D,62,
0x0040906B,166,
0x00409111,168,
0x004091B9,10,
0x004091C3,11,
0x004091CE,94,
0x0040922C,53,
0x00409261,46,
0x0040928F,23,
0x004092A6,24,
0x004092BE,193,
0x0040937F,62,
0x004093BD,5,
0x004093C2,1,
0x004093C3,75,
0x0040940E,118,
0x00409484,16,
0x00409494,79,
0x004094E3,33,
0x00409504,63,
0x00409543,13,
0x00409550,133,
0x004095D5,80,
0x00409625,91,
0x00409680,109,
0x004096ED,418,
0x0040988F,29,
0x004098AC,314,
0x004099E6,28,
0x00409A10,126,
0x00409A90,696,
0x00409D50,138,
0x00409DE0,6,
0x00409DF0,140,_stricmp
