va,size,pattern,detail
0x100171F0,159,x87-math,60 insns
0x10017290,238,no-ret,
0x10017690,164,branching,58 insns
0x10017790,246,branching,87 insns
0x10017C80,79,x87-math,22 insns
0x10017CD0,190,x87-math,67 insns
0x10017D90,401,x87-math,123 insns
0x10017F30,163,branching,54 insns
0x10017FE0,144,x87-math,53 insns
0x10018070,54,branching,18 insns
0x100180B0,1239,x87-math,322 insns
0x100192A0,69,field-writes,13 stores
0x10019300,180,branching,55 insns
0x10019490,75,branching,23 insns
0x100194E0,306,x87-math,71 insns
0x10019620,174,x87-math,42 insns
0x100196D0,1142,x87-math,298 insns
0x1001A4B0,31,calls-out,8 insns
0x1001BB80,27,branching,15 insns
0x1001BBA0,27,branching,15 insns
0x1001BBC0,43,x87-math,22 insns
0x1001BC20,43,x87-math,22 insns
0x1001BC50,43,x87-math,22 insns
0x1001BE10,32,calls-out,12 insns
0x1001BE30,96,calls-out,37 insns
0x1001C7A0,73,calls-out,33 insns
0x1001C7F0,36,calls-out,13 insns
0x1001CB40,183,x87-math,44 insns
0x1001CC00,110,other,37 insns
0x1001CCA0,183,x87-math,44 insns
0x1001CD60,17,other,5 insns
0x1001CD80,17,other,5 insns
0x1001CF30,178,branching,45 insns
0x1001D810,303,x87-math,117 insns
0x1001D940,170,x87-math,53 insns
0x1001D9F0,311,x87-math,120 insns
0x1001DB30,311,x87-math,120 insns
0x1001DC70,311,x87-math,120 insns
0x1001DDB0,311,x87-math,120 insns
0x1001DEF0,311,x87-math,120 insns
0x1001E030,311,x87-math,120 insns
0x1001E790,37,calls-out,12 insns
0x10020D60,60,branching,19 insns
0x10020DA0,26,branching,9 insns
0x10020DC0,296,branching,92 insns
0x10020EF0,35,branching,10 insns
0x10020F20,33,calls-out,10 insns
0x10020F50,43,branching,17 insns
0x10020F80,27,calls-out,10 insns
0x10021510,79,calls-out,32 insns
0x10021B80,75,calls-out,27 insns
0x10022350,301,x87-math,80 insns
0x10022DC0,162,x87-math,52 insns
0x10024150,152,branching,55 insns
0x10024240,27,other,11 insns
0x100242F0,187,branching,53 insns
0x10024A90,29,branching,11 insns
0x100251A0,430,branching,120 insns
0x10027B90,97,branching,38 insns
0x10027C00,96,branching,34 insns
0x10028200,333,branching,112 insns
