vram,size,module,how,name,status,pc_va,source
8021C740,8,,,,,,
8021C748,204,,,,,,
8021C814,52,unfiled,confirmed,BrPhaseActivate_10045AF0,SHAPE,,src/core/slice3_31.c
8021C848,48,unfiled,confirmed,BrUiHook87_1003F280,SHAPE,,src/core/slice8_87.c
8021C878,724,,,,,,
8021CB4C,472,,,,,,
8021CD24,12,audio,confirmed,BrExt_10072B30,SHAPE,,src/core/audio/br_musiccmd.c
8021CD30,832,,,,,,
8021D070,40,unfiled,confirmed,BrDlRebaseWord,EXACT,,src/core/slice2_19.c
8021D098,168,unfiled,confirmed,BrDlRebase,SHAPE,,src/core/slice2_19.c
8021D140,352,,,,,,
8021D2A0,140,unfiled,confirmed,BrCarGfxReadColour,SHAPE,,src/core/slice2_19.c
8021D32C,520,,,,,,
8021D534,176,,,,,,
8021D5E4,212,,,,,,
8021D6B8,36,unfiled,confirmed,BrRec24TotalBytes,SHAPE,,src/core/slice1_07.c
8021D6DC,260,,,,,,
8021D7E0,36,unfiled,confirmed,BrAnimSetOnce,EXACT,,src/core/slice2_19.c
8021D804,36,unfiled,confirmed,BrAnimSetLoop,EXACT,,src/core/slice2_19.c
8021D828,36,unfiled,confirmed,BrAnimSetPingPong,EXACT,,src/core/slice2_19.c
8021D84C,1000,,,,,,
8021DC34,456,,,,,,
8021DDFC,48,unfiled,confirmed,FreeINI,SHAPE,,src/exe/brally/0x004012A0.c
8021DE2C,48,drawing,confirmed,BrImgFree,SHAPE,,src/core/drawing/br_img.c
8021DE5C,804,,,,,,
8021E180,64,,,,,,
8021E1C0,44,unfiled,confirmed,BrUiHook81Reset,SHAPE,,src/core/slice7_81.c
8021E1EC,8,,,,,,
8021E1F4,40,unfiled,confirmed,BrLogSet,SHAPE,,src/core/slice2_19.c
8021E21C,172,,,,,,
8021E2C8,764,,,,,,
8021E5C4,92,unfiled,confirmed,BrMenuSub1005FF30,SHAPE,,src/core/slice4_52.c
8021E620,88,,,,,,
8021E678,356,,,,,,
8021E7DC,88,,,,,,
8021E834,356,,,,,,
8021E998,40,controls,confirmed,BrWndShadowSet,SHAPE,,src/core/controls/br_input.c
8021E9C0,76,,,,,,
8021EA0C,40,drawing,confirmed,BrImgBlitSkipped,SHAPE,,src/core/drawing/br_imgblit.c
8021EA34,76,,,,,,
8021EA80,8,,,,,,
8021EA88,8,,,,,,
8021EA90,68,unfiled,confirmed,BrU16QueuePop,SHAPE,,src/core/slice2_11.c
8021EAD4,8,,,,,,
8021EADC,68,,,,,,
8021EB20,16,,,,,,
8021EB30,32,unfiled,confirmed,BrMat4SetLastColumn,EXACT,,src/core/slice3_44.c
8021EB50,1368,,,,,,
8021F0A8,76,,,,,,
8021F0F4,100,,,,,,
8021F158,76,,,,,,
8021F1A4,76,unfiled,confirmed,FUN_10014cb0,SHAPE,,src/core/slice2_15.c
8021F1F0,232,,,,,,
8021F2D8,168,,,,,,
8021F380,1560,,,,,,
8021F998,1132,,,,,,
8021FE04,124,unfiled,confirmed,BrEntSetPos,SHAPE,,src/core/slice3_45.c
8021FE80,272,,,,,,
8021FF90,448,,,,,,
80220150,120,unfiled,confirmed,BrEntSetMatrix,SHAPE,,src/core/slice3_45.c
802201C8,84,unfiled,confirmed,BrEntSetVel,SHAPE,,src/core/slice3_45.c
8022021C,316,,,,,,
80220358,64,unfiled,confirmed,BrEntSetAngVel,SHAPE,,src/core/slice3_45.c
80220398,88,unfiled,confirmed,BrEntRefreshColour,SHAPE,,src/core/slice3_45.c
802203F0,72,unfiled,confirmed,BrEntSetRecord,SHAPE,,src/core/slice3_45.c
80220438,60,unfiled,confirmed,BrUiItemVtblOf,SHAPE,,src/core/slice2_23.c
80220474,192,,,,,,
80220534,16,audio,confirmed,BrAudioTrackCount,SHAPE,,src/core/audio/br_audio.c
80220544,220,,,,,,
80220620,388,,,,,,
802207A4,108,unfiled,confirmed,BrEntityBindAux,SHAPE,,src/core/slice1_09.c
80220810,1096,,,,,,
80220C58,556,,,,,,
80220E84,368,,,,,,
80220FF4,276,,,,,,
80221108,104,drawing,confirmed,BrVec3Predict,SHAPE,,src/core/drawing/br_surf.c
80221170,1780,,,,,,
80221864,220,,,,,,
80221940,1228,,,,,,
80221E0C,580,,,,,,
80222050,3332,,,,,,
80222D54,1820,,,,,,
80223470,16,unfiled,confirmed,BrPolyDistMaxX,SHAPE,,src/core/slice2_13.c
80223480,520,,,,,,
80223688,156,,,,,,
80223724,8,,,,,,
8022372C,36,,,,,,
80223750,100,,,,,,
802237B4,28,unfiled,confirmed,BrSceneAccumReset,SHAPE,,src/core/slice2_15.c
802237D0,100,,,,,,
80223834,28,,,,,,
80223850,48,geometry,confirmed,BrSub10071B60,SHAPE,,src/core/geometry/br_vec.c
80223880,28,geometry,inferred,,,,
8022389C,28,geometry,inferred,,,,
802238B8,68,geometry,inferred,,,,
802238FC,68,geometry,inferred,,,,
80223940,72,geometry,inferred,,,,
80223988,108,geometry,inferred,,,,
802239F4,116,geometry,inferred,,,,
80223A68,8,geometry,inferred,,,,
80223A70,880,geometry,inferred,,,,
80223DE0,372,geometry,inferred,,,,
80223F54,908,geometry,inferred,,,,
802242E0,188,geometry,inferred,,,,
8022439C,104,geometry,confirmed,BrVec3Cross,SHAPE,,src/core/geometry/br_vec.c
80224404,48,geometry,confirmed,BrVec3Dot,SHAPE,,src/core/geometry/br_vec.c
80224434,40,geometry,confirmed,BrVec3Negate,EXACT,,src/core/geometry/br_vec.c
8022445C,40,unfiled,confirmed,BrUiTweenReset_10047D10,SHAPE,,src/core/slice3_32.c
80224484,36,,,,,,
802244A8,32,,,,,,
802244C8,52,,,,,,
802244FC,44,geometry,confirmed,BrVec3Scale,EXACT,,src/core/geometry/br_vec.c
80224528,52,geometry,confirmed,BrVec3ScaleBy,SHAPE,,src/core/geometry/br_vec.c
8022455C,56,geometry,confirmed,BrVec3Div,SHAPE,,src/core/geometry/br_vec.c
80224594,64,geometry,confirmed,BrVec3DivBy,SHAPE,,src/core/geometry/br_vec.c
802245D4,28,unfiled,confirmed,BrVec3Copy,EXACT,,src/core/slice2_19.c
802245F0,204,unfiled,confirmed,BrVec3Direction,SHAPE,,src/core/slice2_21.c
802246BC,164,,,,,,
80224760,168,unfiled,confirmed,BrVec3NormaliseGuard,SHAPE,,src/core/slice2_21.c
80224808,52,geometry,confirmed,BrVec3Sub,EXACT,,src/core/geometry/br_vec.c
8022483C,52,geometry,confirmed,BrVec3SubFrom,EXACT,,src/core/geometry/br_vec.c
80224870,36,geometry,inferred,,,,
80224894,52,geometry,confirmed,BrVec3Add,EXACT,,src/core/geometry/br_vec.c
802248C8,52,geometry,confirmed,BrVec3AddTo,EXACT,,src/core/geometry/br_vec.c
802248FC,80,geometry,confirmed,BrVec3Lerp,SHAPE,,src/core/geometry/br_vec.c
8022494C,68,geometry,confirmed,BrVec3MulAdd,SHAPE,,src/core/geometry/br_vec.c
80224990,68,geometry,confirmed,BrVec3MulAddTo,EXACT,,src/core/geometry/br_vec.c
802249D4,72,geometry,confirmed,BrVec3Midpoint,SHAPE,,src/core/geometry/br_vec.c
80224A1C,24,geometry,confirmed,BrVec3Zero,EXACT,,src/core/geometry/br_vec.c
80224A34,68,unfiled,confirmed,BrVec3DistXY,SHAPE,,src/core/slice2_21.c
80224A78,84,geometry,confirmed,BrVec3Dist,SHAPE,,src/core/geometry/br_vec.c
80224ACC,60,geometry,confirmed,BrVec3DistSq,SHAPE,,src/core/geometry/br_vec.c
80224B08,64,geometry,confirmed,BrVec3Length,SHAPE,,src/core/geometry/br_vec.c
80224B48,52,unfiled,confirmed,BrVec3LenXY,SHAPE,,src/core/slice2_21.c
80224B7C,388,,,,,,
80224D00,220,,,,,,
80224DDC,204,,,,,,
80224EA8,232,,,,,,
80224F90,168,,,,,,
80225038,196,geometry,confirmed,BrVec3Project,SHAPE,,src/core/geometry/br_mat.c
802250FC,132,,,,,,
80225180,364,,,,,,
802252EC,100,,,,,,
80225350,32,gamedata,confirmed,BrTrackFaceCount,SHAPE,,src/core/gamedata/br_track.c
80225370,1020,,,,,,
8022576C,432,,,,,,
8022591C,292,unfiled,confirmed,BrTriContainsPoint,SHAPE,,src/core/slice1_06.c
80225A40,292,,,,,,
80225B64,696,,,,,,
80225E1C,156,,,,,,
80225EB8,24,driving,confirmed,BrCarPhysBodyState,SHAPE,,src/core/driving/br_carphys.c
80225ED0,8,,,,,,
80225ED8,12,unfiled,confirmed,BrTextBoxDtor,SHAPE,,src/core/slice6_72.c
80225EE4,76,unfiled,confirmed,BrDPlayRandStep,SHAPE,,src/core/slice2_22.c
80225F30,88,,,,,,
80225F88,92,,,,,,
80225FE4,100,,,,,,
80226048,40,unfiled,confirmed,BrUiItem,SHAPE,,src/core/slice2_23.c
80226070,48,unfiled,confirmed,BrReplayGetSize,SHAPE,,src/core/slice3_42.c
802260A0,96,,,,,,
80226100,328,,,,,,
80226248,576,,,,,,
80226488,2292,,,,,,
