vram,size,module,how,name,status,pc_va,source
802581CC,124,geometry,confirmed,BrVec3Normalise,SHAPE,,src/core/geometry/br_vecnorm.c
80258248,220,,,,,,
80258324,184,,,,,,
802583DC,340,,,,,,
80258530,336,,,,,,
80258680,64,,,,,,
802586C0,152,,,,,,
80258758,144,,,,,,
802587E8,208,,,,,,
802588B8,152,,,,,,
80258950,164,,,,,,
802589F4,488,,,,,,
80258BDC,72,unfiled,confirmed,BrSndVoiceStop,SHAPE,,src/core/slice1_08.c
80258C24,396,,,,,,
80258DB0,84,unfiled,confirmed,BrMat3Skew,EXACT,,src/core/slice3_44.c
80258E04,96,unfiled,confirmed,BrMat4ToMat3Both,SHAPE,,src/core/slice3_44.c
80258E64,72,unfiled,confirmed,BrMat4ToMat3,SHAPE,,src/core/slice3_44.c
80258EAC,76,unfiled,confirmed,BrMat4ToMat3Transposed,SHAPE,,src/core/slice3_44.c
80258EF8,120,unfiled,confirmed,BrMat3Mul,SHAPE,,src/core/slice3_44.c
80258F70,100,,,,,,
80258FD4,276,,,,,,
802590E8,616,,,,,,
80259350,364,,,,,,
802594BC,376,,,,,,
80259634,472,,,,,,
8025980C,304,unfiled,confirmed,BrRbSolveAccel,SHAPE,,src/core/slice3_42.c
8025993C,220,unfiled,confirmed,BrRbAccumAll,SHAPE,,src/core/slice3_42.c
80259A18,260,,,,,,
80259B1C,252,,,,,,
80259C18,252,,,,,,
80259D14,3976,,,,,,
8025AC9C,1812,,,,,,
8025B3B0,852,,,,,,
8025B704,56,driving,confirmed,BrCrPlaneDist,SHAPE,,src/core/driving/br_collrespsolve.c
8025B73C,1128,,,,,,
8025BBA4,20,racing,confirmed,BrAiRecoveryReset,SHAPE,,src/core/racing/br_ai.c
8025BBB8,1684,,,,,,
8025C24C,48,driving,confirmed,BrCrListPush,SHAPE,,src/core/driving/br_collresp.c
8025C27C,76,unfiled,confirmed,BrX10005E70,SHAPE,,src/core/slice8_83.c
8025C2C8,232,,,,,,
8025C3B0,24,audio,confirmed,BrAudioGetVolume,SHAPE,,src/core/audio/br_audio.c
8025C3C8,744,,,,,,
8025C6B0,548,,,,,,
8025C8D4,8,,,,,,
8025C8DC,796,,,,,,
8025CBF8,560,,,,,,
8025CE28,496,,,,,,
8025D018,72,drawing,confirmed,BrTex3dFree,SHAPE,,src/core/drawing/br_tex3d.c
8025D060,764,,,,,,
8025D35C,12,,,,,,
8025D368,2384,,,,,,
8025DCB8,788,,,,,,
8025DFCC,1424,,,,,,
8025E55C,708,,,,,,
8025E820,332,,,,,,
8025E96C,784,,,,,,
8025EC7C,320,,,,,,
8025EDBC,436,,,,,,
8025EF70,308,,,,,,
8025F0A4,104,,,,,,
8025F10C,40,unfiled,confirmed,BrMenuCap0990,SHAPE,,src/core/slice2_24.c
8025F134,40,,,,,,
8025F15C,36,unfiled,confirmed,BrRasterSelect,SHAPE,,src/core/slice2_14.c
8025F180,12,,,,,,
8025F18C,876,,,,,,
8025F4F8,2284,,,,,,
8025FDE4,1708,,,,,,
80260490,796,,,,,,
802607AC,20,,,,,,
802607C0,28,gamedata,confirmed,BrObjInitInline,SHAPE,,src/core/gamedata/br_obj.c
802607DC,36,audio,confirmed,BrExt_10072A90,SHAPE,,src/core/audio/br_musiccmd.c
80260800,84,audio,inferred,,,,
80260854,76,audio,inferred,,,,
802608A0,160,audio,inferred,,,,
80260940,368,audio,inferred,,,,
80260AB0,112,audio,inferred,,,,
80260B20,44,audio,inferred,,,,
80260B4C,40,audio,inferred,,,,
80260B74,36,audio,inferred,,,,
80260B98,40,audio,confirmed,BrSfxCarChannel,SHAPE,,src/core/audio/br_sfx.c
80260BC0,404,,,,,,
80260D54,92,,,,,,
80260DB0,36,unfiled,confirmed,BrPodLoadInto,SHAPE,,src/core/slice3_31.c
80260DD4,92,unfiled,confirmed,BrPhaseLeave_10044F00,SHAPE,,src/core/slice2_26.c
80260E30,72,unfiled,confirmed,BrMat4Perspective7,SHAPE,,src/core/slice4_50.c
80260E78,88,racing,confirmed,BrAiHeading,SHAPE,,src/core/racing/br_ai.c
80260ED0,256,,,,,,
80260FD0,136,geometry,confirmed,BrMat4Identity,EXACT,,src/core/geometry/br_mat.c
80261058,48,unfiled,confirmed,BrCarNetSendState,SHAPE,,src/core/slice3_40.c
80261088,184,,,,,,
80261140,16,,,,,,
80261150,1088,,,,,,
80261590,128,,,,,,
80261610,120,,,,,,
80261688,8,,,,,,
80261690,252,,,,,,
8026178C,28,,,,,,
802617A8,28,,,,,,
802617C4,12,,,,,,
802617D0,292,,,,,,
802618F4,28,,,,,,
80261910,28,,,,,,
8026192C,20,,,,,,
80261940,416,,,,,,
80261AE0,252,,,,,,
80261BDC,212,,,,,,
80261CB0,624,,,,,,
80261F20,360,,,,,,
80262088,364,,,,,,
802621F4,380,,,,,,
80262370,464,,,,,,
80262540,276,,,,,,
80262654,12,,,,,,
80262660,608,,,,,,
802628C0,448,,,,,,
80262A80,1732,,,,,,
80263144,436,,,,,,
802632F8,488,,,,,,
802634E0,252,,,,,,
802635DC,1028,,,,,,
802639E0,336,,,,,,
80263B30,1156,,,,,,
80263FB4,612,,,,,,
80264218,200,,,,,,
802642E0,320,,,,,,
80264420,104,,,,,,
80264488,8,,,,,,
80264490,448,,,,,,
80264650,272,,,,,,
80264760,196,,,,,,
80264824,168,,,,,,
802648CC,244,,,,,,
802649C0,48,unfiled,confirmed,BrUiHook85_1003E950,SHAPE,,src/core/slice8_85.c
802649F0,112,,,,,,
80264A60,112,unfiled,confirmed,BrSub10046400,SHAPE,,src/core/slice3_31.c
80264AD0,80,drawing,confirmed,BrUiImgSavePathsInit,SHAPE,,src/core/drawing/br_uiimg.c
80264B20,64,unfiled,confirmed,BrPhaseLeave_10046560,SHAPE,,src/core/slice3_31.c
80264B60,284,,,,,,
80264C7C,400,,,,,,
80264E0C,68,audio,confirmed,BrSfxSrcRaceCountdown,SHAPE,,src/core/audio/br_sfxsrc.c
80264E50,696,,,,,,
80265108,120,,,,,,
80265180,560,,,,,,
802653B0,96,,,,,,
80265410,48,drawing,confirmed,BrImgBlitResetForTest,SHAPE,,src/core/drawing/br_imgblit.c
80265440,112,unfiled,confirmed,BrPhaseLeave_10044AE0,SHAPE,,src/core/slice2_26.c
802654B0,336,,,,,,
80265600,112,unfiled,confirmed,BrExt_10046DC0,SHAPE,,src/core/slice3_31.c
80265670,336,,,,,,
802657C0,336,,,,,,
80265910,504,,,,,,
80265B08,208,,,,,,
80265BD8,248,,,,,,
80265CD0,192,,,,,,
80265D90,656,,,,,,
80266020,44,,,,,,
8026604C,60,,,,,,
80266088,60,,,,,,
802660C4,44,,,,,,
802660F0,60,,,,,,
8026612C,92,,,,,,
80266188,48,,,,,,
802661B8,96,,,,,,
80266218,156,,,,,,
802662B4,44,,,,,,
802662E0,136,,,,,,
80266368,40,,,,,,
80266390,16,unfiled,confirmed,HasGraph,SHAPE,,src/exe/bossrally/0x00401460.c
802663A0,96,,,,,,
80266400,392,,,,,,
80266588,472,,,,,,
80266760,400,,,,,,
802668F0,224,,,,,,
802669D0,28,,,,,,
802669EC,28,,,,,,
80266A08,160,,,,,,
80266AA8,156,,,,,,
80266B44,24,,,,,,
80266B5C,24,,,,,,
80266B74,52,,,,,,
80266BA8,56,,,,,,
80266BE0,1900,,,,,,
8026734C,196,,,,,,
80267410,96,unfiled,confirmed,BrRbVelAtBodyPoint,SHAPE,,src/core/slice3_42.c
80267470,96,unfiled,confirmed,SetPlayerTitle,SHAPE,,src/exe/bossrally/0x00401700.c
802674D0,116,,,,,,
80267544,368,,,,,,
802676B4,300,,,,,,
802677E0,336,,,,,,
80267930,752,,,,,,
80267C20,736,,,,,,
80267F00,568,,,,,,
80268138,248,,,,,,
80268230,352,,,,,,
80268390,224,,,,,,
80268470,176,,,,,,
80268520,16,unfiled,confirmed,IncludeStackEmpty,SHAPE,,src/exe/brally/0x00401660.c
80268530,16,unfiled,confirmed,IncludeStackEmpty,SHAPE,,src/exe/setvideo/0x00401AC0.c
80268540,32,,,,,,
80268560,32,gamedata,confirmed,BrPodIdentity,SHAPE,,src/core/gamedata/br_pod.c
80268580,320,,,,,,
802686C0,144,,,,,,
80268750,1648,,,,,,
80268DC0,1616,,,,,,
80269410,80,unfiled,confirmed,BrGfxClearCounters,SHAPE,,src/core/slice2_13.c
80269460,68,unfiled,confirmed,BrPhaseActivate_10045460,SHAPE,,src/core/slice2_26.c
802694A4,44,racing,confirmed,BrAiAimSmooth,SHAPE,,src/core/racing/br_ai.c
802694D0,176,,,,,,
80269580,272,,,,,,
80269690,92,,,,,,
802696EC,104,,,,,,
80269754,1048,,,,,,
80269B6C,408,,,,,,
80269D04,604,,,,,,
80269F60,252,,,,,,
8026A05C,800,,,,,,
8026A37C,116,,,,,,
8026A3F0,540,,,,,,
8026A60C,372,,,,,,
8026A780,176,,,,,,
8026A830,208,,,,,,
8026A900,516,,,,,,
8026AB04,380,,,,,,
8026AC80,64,unfiled,confirmed,BrStringById,SHAPE,,src/core/slice4_53.c
8026ACC0,1348,,,,,,
8026B204,232,,,,,,
8026B2EC,256,,,,,,
8026B3EC,72,,,,,,
8026B434,16,unfiled,confirmed,BrFadeLatch,SHAPE,,src/core/slice2_16.c
8026B444,396,,,,,,
8026B5D0,336,,,,,,
8026B720,24,startup,confirmed,BrGameStepIsAddr,SHAPE,,src/core/startup/br_gamestep.c
8026B738,24,unfiled,confirmed,IsStopped,SHAPE,,src/exe/bossrally/0x00401450.c
8026B750,128,,,,,,
8026B7D0,80,,,,,,
8026B820,48,,,,,,
8026B850,16,,,,,,
8026B860,64,drawing,confirmed,BrGbiTexScanTileSync,SHAPE,,src/core/drawing/br_gbitexscan.c
8026B8A0,144,,,,,,
8026B930,48,audio,confirmed,BrAudioGetPan,SHAPE,,src/core/audio/br_audio.c
8026B960,144,,,,,,
8026B9F0,16,menus,confirmed,BrUiNavSelection,SHAPE,,src/core/menus/br_uinav.c
8026BA00,16,,,,,,
8026BA10,16,,,,,,
8026BA20,80,unfiled,confirmed,BrUiOptAddress,SHAPE,,src/core/slice7_80.c
8026BA70,80,unfiled,confirmed,BrPolyPoolFree,SHAPE,,src/core/slice2_13.c
8026BAC0,80,,,,,,
8026BB10,48,,,,,,
8026BB40,96,,,,,,
8026BBA0,160,,,,,,
8026BC40,140,,,,,,
8026BCCC,376,,,,,,
8026BE44,116,,,,,,
8026BEB8,392,,,,,,
8026C040,32,drawing,confirmed,BrGbiTexScanMark,SHAPE,,src/core/drawing/br_gbitexscan.c
8026C060,16,,,,,,
8026C070,864,,,,,,
8026C3D0,240,,,,,,
8026C4C0,256,,,,,,
8026C5C0,80,unfiled,confirmed,BrCmdSetColorA,SHAPE,,src/core/slice2_15.c
8026C610,68,unfiled,confirmed,BrPhaseActivate_10045520,SHAPE,,src/core/slice2_26.c
8026C654,44,unfiled,confirmed,BrDPlaySendTag6,SHAPE,,src/core/slice2_22.c
8026C680,224,,,,,,
8026C760,560,,,,,,
8026C990,1168,,,,,,
8026CE20,48,controls,confirmed,BrWndFrontierName,SHAPE,,src/core/controls/br_input.c
8026CE50,672,,,,,,
8026D0F0,1384,,,,,,
8026D658,8,,,,,,
8026D660,1360,,,,,,
8026DBB0,48,audio,confirmed,BrAudioIsEnabled,SHAPE,,src/core/audio/br_audio.c
8026DBE0,1700,,,,,,
8026E284,232,,,,,,
8026E36C,244,,,,,,
8026E460,160,,,,,,
8026E500,256,,,,,,
8026E600,192,,,,,,
8026E6C0,16,,,,,,
8026E6D0,96,unfiled,confirmed,BrPhaseLeave_10046D20,SHAPE,,src/core/slice3_31.c
8026E730,80,,,,,,
8026E780,80,,,,,,
8026E7D0,80,unfiled,confirmed,BrPhaseLeave_10044B40,SHAPE,,src/core/slice2_26.c
8026E820,80,unfiled,confirmed,BrUiHook87_1003FC40,SHAPE,,src/core/slice8_87.c
8026E870,256,,,,,,
8026E970,144,,,,,,
8026EA00,84,,,,,,
8026EA54,292,,,,,,
8026EB78,188,,,,,,
8026EC34,1180,,,,,,
8026F0D0,40,,,,,,
8026F0F8,72,,,,,,
8026F140,2280,,,,,,
8026FA28,32,,,,,,
8026FA48,8,,,,,,
8026FA50,88,,,,,,
8026FAA8,8,,,,,,
